x,y,order,hole,piece,group,fips,abbr,full
-1533714.0,-1824318,183,FALSE,1,02.1,02,AK,Alaska
-1530430.9,-1821090,184,FALSE,1,02.1,02,AK,Alaska
-1523876.6,-1818620,185,FALSE,1,02.1,02,AK,Alaska
-1516419.8,-1814484,186,FALSE,1,02.1,02,AK,Alaska
-1505861.0,-1807138,187,FALSE,1,02.1,02,AK,Alaska
-1491277.5,-1798708,188,FALSE,1,02.1,02,AK,Alaska
-1478952.0,-1792434,189,FALSE,1,02.1,02,AK,Alaska
-1467701.9,-1788319,190,FALSE,1,02.1,02,AK,Alaska
-1459926.9,-1786248,191,FALSE,1,02.1,02,AK,Alaska
-1459840.4,-1786252,192,FALSE,1,02.1,02,AK,Alaska
-1449498.5,-1786720,193,FALSE,1,02.1,02,AK,Alaska
-1445688.4,-1788795,194,FALSE,1,02.1,02,AK,Alaska
-1448213.0,-1791639,195,FALSE,1,02.1,02,AK,Alaska
-1449778.4,-1794677,196,FALSE,1,02.1,02,AK,Alaska
-1451355.7,-1797000,197,FALSE,1,02.1,02,AK,Alaska
-1451306.4,-1801201,198,FALSE,1,02.1,02,AK,Alaska
-1451420.7,-1803653,199,FALSE,1,02.1,02,AK,Alaska
-1453082.7,-1805294,200,FALSE,1,02.1,02,AK,Alaska
-1453088.9,-1807078,201,FALSE,1,02.1,02,AK,Alaska
-1451438.9,-1811892,202,FALSE,1,02.1,02,AK,Alaska
-1449634.0,-1814141,203,FALSE,1,02.1,02,AK,Alaska
-1445848.3,-1813136,204,FALSE,1,02.1,02,AK,Alaska
-1443572.8,-1813345,205,FALSE,1,02.1,02,AK,Alaska
-1439529.8,-1814984,206,FALSE,1,02.1,02,AK,Alaska
-1436709.3,-1814308,207,FALSE,1,02.1,02,AK,Alaska
-1432110.3,-1813960,208,FALSE,1,02.1,02,AK,Alaska
-1429931.6,-1816715,209,FALSE,1,02.1,02,AK,Alaska
-1426229.6,-1816477,210,FALSE,1,02.1,02,AK,Alaska
-1424583.2,-1817486,211,FALSE,1,02.1,02,AK,Alaska
-1420839.7,-1815297,212,FALSE,1,02.1,02,AK,Alaska
-1415485.1,-1818475,213,FALSE,1,02.1,02,AK,Alaska
-1414170.0,-1815923,214,FALSE,1,02.1,02,AK,Alaska
-1410873.1,-1810816,215,FALSE,1,02.1,02,AK,Alaska
-1409477.3,-1807646,216,FALSE,1,02.1,02,AK,Alaska
-1408236.7,-1806554,217,FALSE,1,02.1,02,AK,Alaska
-1405625.7,-1807054,218,FALSE,1,02.1,02,AK,Alaska
-1405340.3,-1808682,219,FALSE,1,02.1,02,AK,Alaska
-1403134.3,-1809428,220,FALSE,1,02.1,02,AK,Alaska
-1399298.9,-1808387,221,FALSE,1,02.1,02,AK,Alaska
-1400833.2,-1804191,222,FALSE,1,02.1,02,AK,Alaska
-1404949.4,-1801273,223,FALSE,1,02.1,02,AK,Alaska
-1409492.7,-1799603,224,FALSE,1,02.1,02,AK,Alaska
-1411666.7,-1799522,225,FALSE,1,02.1,02,AK,Alaska
-1415871.4,-1801684,226,FALSE,1,02.1,02,AK,Alaska
-1414545.6,-1796116,227,FALSE,1,02.1,02,AK,Alaska
-1414575.0,-1793449,228,FALSE,1,02.1,02,AK,Alaska
-1418369.0,-1787522,229,FALSE,1,02.1,02,AK,Alaska
-1419391.4,-1784111,230,FALSE,1,02.1,02,AK,Alaska
-1422384.7,-1781919,231,FALSE,1,02.1,02,AK,Alaska
-1425048.9,-1780928,232,FALSE,1,02.1,02,AK,Alaska
-1426825.8,-1774787,233,FALSE,1,02.1,02,AK,Alaska
-1425861.5,-1772557,234,FALSE,1,02.1,02,AK,Alaska
-1423603.2,-1770315,235,FALSE,1,02.1,02,AK,Alaska
-1423515.8,-1768800,236,FALSE,1,02.1,02,AK,Alaska
-1426412.9,-1767679,237,FALSE,1,02.1,02,AK,Alaska
-1430130.0,-1767777,238,FALSE,1,02.1,02,AK,Alaska
-1432956.7,-1765584,239,FALSE,1,02.1,02,AK,Alaska
-1437908.1,-1763573,240,FALSE,1,02.1,02,AK,Alaska
-1442916.6,-1761507,241,FALSE,1,02.1,02,AK,Alaska
-1444788.3,-1760460,242,FALSE,1,02.1,02,AK,Alaska
-1444967.6,-1755257,243,FALSE,1,02.1,02,AK,Alaska
-1446320.6,-1744496,244,FALSE,1,02.1,02,AK,Alaska
-1448511.6,-1736529,245,FALSE,1,02.1,02,AK,Alaska
-1451581.7,-1731812,246,FALSE,1,02.1,02,AK,Alaska
