county1,county2
Autauga County,Chilton County
Autauga County,Elmore County
Baldwin County,Escambia County
Baldwin County,Mobile County
Blount County,Cullman County
Blount County,Jefferson County
Butler County,Conecuh County
Butler County,Lowndes County
Chilton County,Shelby County
Conecuh County,Escambia County
Cullman County,Morgan County
Elmore County,Montgomery County
Etowah County,St. Clair County
Etowah County,DeKalb County
Greene County,Sumter County
Greene County,Tuscaloosa County
Jefferson County,St. Clair County
Jefferson County,Tuscaloosa County
Jefferson County,Walker County
Jefferson County,Shelby County
Limestone County,Madison County
Limestone County,Morgan County
Lowndes County,Montgomery County
Marion County,Walker County
Montgomery County,Macon County
St. Clair County,Talladega County
Calhoun County,Cleburne County
Calhoun County,Talladega County
Chambers County,Lee County
Lee County,Macon County
