county1,county2
Benton County,Washington County
Craighead County,Jackson County
Craighead County,Lawrence County
Craighead County,Poinsett County
Crawford County,Franklin County
Crawford County,Sebastian County
Crawford County,Washington County
Crittenden County,Mississippi County
Crittenden County,Poinsett County
Crittenden County,St. Francis County
Franklin County,Johnson County
Jackson County,Lawrence County
Jackson County,White County
Monroe County,Prairie County
Monroe County,St. Francis County
Prairie County,Lonoke County
White County,Lonoke County
Lonoke County,Pulaski County
Conway County,Faulkner County
Conway County,Pope County
Faulkner County,Pulaski County
Pope County,Johnson County
Grant County,Jefferson County
Grant County,Pulaski County
Pulaski County,Saline County
Saline County,Hot Spring County
Clark County,Hot Spring County
Clark County,Nevada County
Hempstead County,Nevada County
Hempstead County,Miller County
