county,id,city_name,lat,lon
Apache County,1832179,St. Johns,34.5058698,-109.360932
Cochise County,1832184,Bisbee,31.4417165,-109.9159946
Coconino County,1832185,Flagstaff,35.1987522,-111.651822
La Paz County,1832197,Parker / 'Amat Kuhwely,34.1498408,-114.28896
Maricopa County,1832201,Phoenix,33.4484367,-112.074141
Mohave County,1832203,Kingman,35.189443,-114.0530065
Navajo County,1832204,Holbrook,34.9037105,-110.1593261
Pima County,1832206,Tucson,32.2228765,-110.974847
Pinal County,1832207,Florence,33.0314508,-111.387343
Santa Cruz County,1832210,Nogales,31.3402134,-110.936081
Yavapai County,1832215,Prescott,34.539984,-112.468812
Yuma County,1832216,Yuma,32.723268,-114.6179954
