county,id,city_name,lat,lon
San Francisco,111968,San Francisco,37.7792588,-122.4193286
Humboldt County,396458,Eureka,40.7906871,-124.1673746
Tulare County,396459,Visalia,36.3302284,-119.292058
Sacramento County,396460,Sacramento,38.5810606,-121.493895
Marin County,396461,San Rafael,37.9747795,-122.5316686
Contra Costa County,396462,Martinez,38.0138934,-122.1338674
Napa County,396463,Napa,38.2971367,-122.2855293
Nevada County,396464,Nevada City,39.2625993,-121.0187304
Orange County,396466,Santa Ana,33.7494951,-117.873221
San Joaquin County,396467,Stockton,37.9577016,-121.290779
Sonoma County,396468,Santa Rosa,38.4404925,-122.7141049
Sierra County,396474,Downieville,39.5604439,-120.828217
Yuba County,396475,Marysville,39.1457247,-121.5913516
Colusa County,396476,Colusa,39.2141019,-122.009234
Sutter County,396478,Yuba City,39.1404477,-121.6169108
Los Angeles County,396479,Los Angeles,34.0536909,-118.242766
Kings County,396480,Hanford,36.3277959,-119.6461565
El Dorado County,396481,Placerville,38.7296252,-120.798546
San Diego County,396482,San Diego,32.7174202,-117.162772
Siskiyou County,396483,Yreka,41.732616,-122.637766
Monterey County,396485,Salinas,36.6744117,-121.655037
Tehama County,396486,Red Bluff,40.1784279,-122.235923
Madera County,396488,Madera,36.9622745,-120.0594685
Mendocino County,396489,Ukiah,39.1501662,-123.2077861
Fresno County,396492,Fresno,36.7394421,-119.78483
Glenn County,396493,Willows,39.5233276,-122.193531
Kern County,396494,Bakersfield,35.3738712,-119.019463
Riverside County,396495,Riverside,33.9824949,-117.374238
San Luis Obispo County,396496,San Luis Obispo,35.2827525,-120.659615
San Mateo County,396498,Redwood City,37.4863239,-122.232523
Alameda County,396499,Oakland,37.8044557,-122.271356
San Benito County,396500,Hollister,36.8524545,-121.4016021
Santa Clara County,396501,San Jose,37.3361663,-121.890591
Lake County,396502,Lakeport,39.0429506,-122.915829
Merced County,396504,Merced,37.3029568,-120.4843269
Ventura County,396505,Ventura,34.2783355,-119.293174
Yolo County,396507,Woodland,38.6786109,-121.7733285
Butte County,396508,Oroville,39.5137752,-121.556359
San Bernardino County,396509,San Bernardino,34.1081621,-117.28946
Santa Barbara County,396510,Santa Barbara,34.4221319,-119.702667
Placer County,396511,Auburn,38.8945939,-121.0739897
Shasta County,396512,Redding,40.5863563,-122.391675
Solano County,396513,Fairfield,38.2493581,-122.039966
Stanislaus County,396514,Modesto,37.6393419,-120.9968892
Imperial County,396515,El Centro,32.792,-115.563051
Santa Cruz County,7870163,Santa Cruz,36.9743626,-122.0294673
