county1,county2
Las Animas County,Huerfano County
Summit County,Clear Creek County
Summit County,Eagle County
Clear Creek County,Jefferson County
Huerfano County,Pueblo County
Washington County,Morgan County
Washington County,Logan County
Elbert County,Lincoln County
Broomfield,Jefferson County
Broomfield,Weld County
Broomfield,Boulder County
Broomfield,Adams County
Larimer County,Weld County
Morgan County,Weld County
Jefferson County,Denver
Jefferson County,Adams County
Jefferson County,Arapahoe County
Weld County,Adams County
El Paso County,Douglas County
Douglas County,Arapahoe County
Denver,Adams County
Denver,Arapahoe County
Garfield County,Mesa County
Garfield County,Eagle County
Logan County,Sedgwick County
Adams County,Arapahoe County
