county,id,city_name,lat,lon
Las Animas County,415785,Trinidad,37.169397,-104.500541
Summit County,441008,Breckenridge,39.4829124,-106.0465486
Clear Creek County,442310,Georgetown,39.7062268,-105.697125
Kit Carson County,1411314,Burlington,39.3046827,-102.2680065
Huerfano County,1411317,Walsenburg,37.6235234,-104.780995
Washington County,1411318,Akron,40.1605374,-103.214384
Elbert County,1411319,Kiowa,39.3467212,-104.4636112
Broomfield,1411321,Broomfield,39.9403995,-105.05208
Larimer County,1411323,Fort Collins,40.5871782,-105.0770113
Morgan County,1411324,Fort Morgan,40.2502582,-103.799951
Jefferson County,1411327,Golden,39.7546349,-105.22058
Pueblo County,1411328,Pueblo,38.263995,-104.6141867
Lincoln County,1411330,Hugo,39.1342636,-103.469049
Weld County,1411334,Greeley,40.4233142,-104.7091322
El Paso County,1411335,Colorado Springs,38.8339578,-104.825348
Boulder County,1411337,Boulder,40.0149856,-105.270545
Douglas County,1411338,Castle Rock,39.3722552,-104.858682
Denver,1411339,Denver,39.7392364,-104.984862
Garfield County,1411340,Glenwood Springs,39.5466381,-107.3246941
Mesa County,1411341,Grand Junction,39.0672568,-108.56448
Logan County,1411344,Sterling,40.6255415,-103.207709
Adams County,1411346,Brighton,39.983721,-104.8110775
Sedgwick County,1411348,Julesburg,40.988326,-102.264352
Arapahoe County,1411351,Littleton,39.613321,-105.016649
Eagle County,1411352,Eagle,39.6545407,-106.828038
