county1,county2
South Central Connecticut Planning Region,Greater Bridgeport Planning Region
South Central Connecticut Planning Region,Lower Connecticut River Valley Planning Region
South Central Connecticut Planning Region,Capitol Planning Region
Greater Bridgeport Planning Region,Western Connecticut Planning Region
Greater Bridgeport Planning Region,Naugatuck Valley Planning Region
Western Connecticut Planning Region,Naugatuck Valley Planning Region
Northwest Hills Planning Region,Naugatuck Valley Planning Region
Naugatuck Valley Planning Region,Capitol Planning Region
Lower Connecticut River Valley Planning Region,Southeastern Connecticut Planning Region
Lower Connecticut River Valley Planning Region,Capitol Planning Region
Southeastern Connecticut Planning Region,Northeastern Connecticut Planning Region
Southeastern Connecticut Planning Region,Capitol Planning Region
Northeastern Connecticut Planning Region,Capitol Planning Region
