county1,county2
Effingham County,Chatham County
Effingham County,Bryan County
Chatham County,Bryan County
Camden County,Glynn County
Richmond County,Columbia County
Columbia County,McDuffie County
Hart County,Franklin County
Franklin County,Banks County
Whitfield County,Catoosa County
Whitfield County,Gordon County
DeKalb County,Gwinnett County
DeKalb County,Fulton County
DeKalb County,Clayton County
DeKalb County,Rockdale County
Gwinnett County,Barrow County
Gwinnett County,Hall County
Fulton County,Clayton County
Fulton County,Cobb County
Fulton County,Forsyth County
Fulton County,Coweta County
Clayton County,Henry County
Cobb County,Cherokee County
Cobb County,Douglas County
Henry County,Spalding County
Rockdale County,Newton County
Newton County,Walton County
Walton County,Morgan County
Morgan County,Greene County
Banks County,Jackson County
Barrow County,Jackson County
Bartow County,Cherokee County
Bartow County,Gordon County
Oconee County,Clarke County
Pickens County,Cherokee County
Twiggs County,Bleckley County
Twiggs County,Bibb County
Bleckley County,Laurens County
Laurens County,Treutlen County
Crawford County,Bibb County
Crawford County,Peach County
Monroe County,Bibb County
Monroe County,Lamar County
Dougherty County,Lee County
Glynn County,McIntosh County
Bryan County,Bulloch County
Bryan County,Liberty County
Spalding County,Butts County
Lamar County,Butts County
Meriwether County,Coweta County
Greene County,Taliaferro County
Taliaferro County,Warren County
Haralson County,Carroll County
Carroll County,Douglas County
Candler County,Emanuel County
Chattahoochee County,Muscogee County
Crisp County,Turner County
Crisp County,Dooly County
Emanuel County,Treutlen County
Cook County,Lowndes County
Cook County,Tift County
Turner County,Tift County
Dooly County,Houston County
Harris County,Muscogee County
Harris County,Troup County
Liberty County,McIntosh County
McDuffie County,Warren County
Houston County,Peach County
