county,id,city_name,lat,lon
Effingham County,413939,Springfield,32.3724131,-81.3114988
Chatham County,417316,Savannah,32.0790074,-81.0921335
Camden County,417391,Woodbine,30.9638429,-81.7226063
Richmond County,420422,Augusta,33.4709714,-81.9748429
Columbia County,447655,Appling,33.5459683,-82.3159572
Hart County,448597,Hartwell,34.3528825,-82.932087
Franklin County,452082,Carnesville,34.3698266,-83.235155
Habersham County,452153,Clarkesville,34.6125971,-83.5248933
Dade County,533031,Trenton,34.8720222,-85.50913
Whitfield County,535392,Dalton,34.7691867,-84.9702475
Catoosa County,538625,Ringgold,34.91591,-85.1091173
DeKalb County,964801,Decatur,33.7737582,-84.296069
Gwinnett County,964803,Lawrenceville,33.9566391,-83.9890066
Fulton County,975368,Atlanta,33.7489924,-84.3902644
Clayton County,975369,Jonesboro,33.5215013,-84.3538128
Cobb County,1020125,Marietta,33.9528472,-84.5496148
Henry County,1020468,McDonough,33.4473361,-84.1468616
Rockdale County,1020471,Conyers,33.6676103,-84.0176904
Newton County,1020502,Covington,33.5966005,-83.8598742
Walton County,1020503,Monroe,33.7948364,-83.713229
Morgan County,1020507,Madison,33.5956814,-83.467944
Banks County,1020674,Homer,34.3337156,-83.499055
Barrow County,1020675,Winder,33.9919085,-83.7184368
Bartow County,1020677,Cartersville,34.1652304,-84.7997613
Jackson County,1020707,Jefferson,34.1170537,-83.5723876
Oconee County,1020708,Watkinsville,33.8628959,-83.4087709
Clarke County,1020709,Athens,33.9597677,-83.376398
Pickens County,1020715,Jasper,34.4678687,-84.4290918
Cherokee County,1020716,Canton,34.2367621,-84.4907621
Gordon County,1020717,Calhoun,34.502587,-84.9510542
Forsyth County,1024740,Cumming,34.2073196,-84.1401926
Hall County,1026132,Gainesville,34.2978794,-83.8240663
Twiggs County,1027979,Jeffersonville,32.6876606,-83.3470598
Bleckley County,1027981,Cochran,32.3885694,-83.3570727
Laurens County,1027985,Dublin,32.5404447,-82.903754
Crawford County,1027987,Knoxville,32.7243072,-83.9976875
Monroe County,1027988,Forsyth,33.0344998,-83.9389018
Bibb County,1027990,Macon,32.8406946,-83.6324022
Dougherty County,1028119,Albany,31.5782062,-84.1556809
Glynn County,1028120,Brunswick,31.1499528,-81.4914894
Bryan County,1028123,Pembroke,32.1360332,-81.6220566
Spalding County,1028124,Griffin,33.2467807,-84.2640904
Lamar County,1028127,Barnesville,33.0545709,-84.1557496
Bulloch County,1028129,Statesboro,32.4490141,-81.7832912
Butts County,1028131,Jackson,33.2945651,-83.9660209
Meriwether County,1029446,Greenville,33.0287373,-84.7129848
Greene County,1029450,Greensboro,33.5756831,-83.1823789
Taliaferro County,1029454,Crawfordville,33.5539938,-82.8961899
Haralson County,1029455,Buchanan,33.8026048,-85.1885607
Carroll County,1059834,Carrollton,33.5801103,-85.0766113
Candler County,1059839,Metter,32.397118,-82.0601196
Coweta County,1059841,Newnan,33.3806716,-84.7996573
Chattahoochee County,1059842,Cusseta,32.3054268,-84.7727027
Douglas County,1059843,Douglasville,33.7514966,-84.7477136
Crisp County,1073765,Cordele,31.9691606,-83.782718
Lee County,1073766,Leesburg,31.7324556,-84.1711966
Emanuel County,1073769,Swainsboro,32.5973857,-82.3337376
Cook County,1073774,Adel,31.1371358,-83.4234936
Turner County,1073777,Ashburn,31.7059751,-83.6535591
Lowndes County,1073781,Valdosta,30.8327022,-83.2784851
Decatur County,1073782,Bainbridge,30.9038252,-84.5754768
Floyd County,1073786,Rome,34.257038,-85.1646726
Tift County,1073787,Tifton,31.4549719,-83.5108284
Dooly County,1073788,Vienna,32.0913402,-83.7964675
Harris County,1073863,Hamilton,32.7579107,-84.8749311
Liberty County,1073868,Hinesville,31.8477347,-81.5960705
McIntosh County,1073923,Darien,31.3702255,-81.4339903
Muscogee County,1073925,Columbus,32.4610708,-84.9880449
McDuffie County,1073926,Thomson,33.4663248,-82.5026089
Treutlen County,1074318,Soperton,32.3771182,-82.5923554
Warren County,1074321,Warrenton,33.4070837,-82.6620781
Troup County,1074325,LaGrange,33.039291,-85.0313269
Houston County,1074368,Perry,32.4586695,-83.7319658
Peach County,1074381,Fort Valley,32.5537585,-83.8874084
