county1,county2
Dubuque County,Delaware County
Dubuque County,Jones County
Woodbury County,Monona County
Woodbury County,Dakota County
Woodbury County,Plymouth County
Harrison County,Pottawattamie County
Harrison County,Monona County
Fremont County,Mills County
Pottawattamie County,Mills County
Pottawattamie County,Cass County
O'Brien County,Sioux County
Jasper County,Polk County
Jasper County,Marion County
Jasper County,Poweshiek County
Polk County,Warren County
Polk County,Dallas County
Polk County,Story County
Marion County,Mahaska County
Warren County,Clarke County
Boone County,Story County
Dallas County,Adair County
Dallas County,Madison County
Story County,Hamilton County
Webster County,Hamilton County
Adair County,Cass County
Adair County,Madison County
Clarke County,Decatur County
Wapello County,Mahaska County
Iowa County,Johnson County
Iowa County,Poweshiek County
Johnson County,Washington County
Johnson County,Cedar County
Johnson County,Linn County
Muscatine County,Scott County
Cedar County,Scott County
Cedar County,Linn County
Clinton County,Jackson County
Clinton County,Scott County
Benton County,Buchanan County
Benton County,Linn County
Black Hawk County,Bremer County
Black Hawk County,Buchanan County
Black Hawk County,Grundy County
Buchanan County,Delaware County
Cerro Gordo County,Floyd County
Cerro Gordo County,Franklin County
Cerro Gordo County,Worth County
Grundy County,Hardin County
Hamilton County,Hardin County
Hamilton County,Wright County
