county,id,city_name,lat,lon
Dubuque County,271236,Dubuque,42.5006243,-90.6647985
Woodbury County,1425400,Sioux City,42.4966815,-96.4058782
Harrison County,1425412,Logan,41.6432257,-95.7894213
Fremont County,1425419,Sidney,40.7473867,-95.6468803
Pottawattamie County,1425420,Council Bluffs,41.258841,-95.8519484
Monona County,1425435,Onawa,42.0268269,-96.0974618
Mills County,1425443,Glenwood,41.0469437,-95.7425055
Dakota County,1425447,Dakota City,42.4153516,-96.41853
Osceola County,1646302,Sibley,43.3989852,-95.7520256
O'Brien County,1646303,Primghar,43.086922,-95.627232
Lincoln County,1739831,Canton,43.3009156,-96.5926411
Plymouth County,1739845,Le Mars,42.792151,-96.1662993
Jasper County,1783068,Newton,41.6997139,-93.0538852
Polk County,1783069,Des Moines,41.5868654,-93.6249494
Marion County,1783155,Knoxville,41.3183891,-93.0971358
Warren County,1783156,Indianola,41.3604966,-93.5613292
Boone County,1783157,Boone,42.0596994,-93.8802202
Dallas County,1783158,Adel,41.6174123,-94.0185176
Story County,1783159,Nevada,42.0227653,-93.4524342
Sioux County,1788777,Orange City,43.0072424,-96.0583138
Marshall County,1788853,Marshalltown,42.048881,-92.9122672
Webster County,1789197,Fort Dodge,42.5044017,-94.1910044
Adair County,1789526,Greenfield,41.3049135,-94.4610389
Cass County,1789529,Atlantic,41.403691,-95.0138705
Clarke County,1789779,Osceola,41.0341224,-93.7665629
Decatur County,1789780,Leon,40.740465,-93.7465075
Madison County,1789781,Winterset,41.3347631,-94.0135687
Lee County,1789871,Fort Madison,40.6311415,-91.308400700000007
Des Moines County,1790024,Burlington,40.8126922,-91.1020205
Henry County,1790071,Mount Pleasant,40.966312,-91.5539956
Jefferson County,1790072,Fairfield,41.0072342,-91.9630039
Wapello County,1790075,Ottumwa,41.0195659,-92.4116886
Louisa County,1790103,Wapello,41.1813612,-91.185468
Iowa County,1790340,Marengo,41.8001041,-92.069382
Johnson County,1790341,Iowa City,41.6612561,-91.5299106
Mahaska County,1790344,Oskaloosa,41.2951037,-92.6448451
Poweshiek County,1790345,Montezuma,41.5855171,-92.5270227
Washington County,1790346,Washington,41.2990848,-91.6923661
Muscatine County,1791861,Muscatine,41.4246132,-91.0436508
Cedar County,1792162,Tipton,41.7697016,-91.1281732
Clinton County,1792163,Clinton,41.8502821,-90.1877485
Jackson County,1792164,Maquoketa,42.0690915,-90.6654748
Scott County,1792166,Davenport,41.5235808,-90.5770967
Benton County,1792934,Vinton,42.1679131,-92.0239504
Black Hawk County,1792935,Waterloo,42.498275,-92.3328743
Bremer County,1792936,Waverly,42.7258451,-92.4746033
Buchanan County,1792937,Independence,42.4685661,-91.8891187
Cerro Gordo County,1792939,Mason City,43.1524574,-93.2017941
Chickasaw County,1792940,New Hampton,43.059421,-92.3181158
Delaware County,1792941,Manchester,42.4840907,-91.4555379
Floyd County,1792943,Charles City,43.0662177,-92.6794258
Franklin County,1792944,Hampton,42.7424776,-93.2080861
Grundy County,1792945,Grundy Center,42.3616501,-92.7685327
Hamilton County,1792946,Webster City,42.4695666,-93.8183858
Hardin County,1792948,Eldora,42.3606883,-93.099609
Jones County,1792950,Anamosa,42.1083371,-91.2851594
Linn County,1792951,Cedar Rapids,41.9758872,-91.6704053
Tama County,1792953,Toledo,41.9958439,-92.5790678
Worth County,1792955,Northwood,43.4441245,-93.2210371
Wright County,1792956,Clarion,42.7317899,-93.7321871
