county1,county2
Bonneville County,Bingham County
Bonneville County,Jefferson County
Kootenai County,Shoshone County
Ada County,Canyon County
Ada County,Elmore County
Bannock County,Bingham County
Bannock County,Oneida County
Bannock County,Power County
Canyon County,Payette County
Cassia County,Minidoka County
Cassia County,Oneida County
Cassia County,Power County
Clark County,Jefferson County
Elmore County,Gooding County
Gooding County,Jerome County
Jefferson County,Madison County
Jerome County,Minidoka County
