county,id,city_name,lat,lon
Bonneville County,1416617,Idaho Falls,43.4887907,-112.03628
Kootenai County,1539997,Coeur d'Alene,47.6742994,-116.7811531
Shoshone County,1540000,Wallace,47.4716008,-115.923925
Ada County,1742072,Boise,43.6166163,-116.200886
Bannock County,1742074,Pocatello,42.8620287,-112.450627
Bingham County,1742076,Blackfoot,43.190039,-112.348357
Canyon County,1742082,Caldwell,43.6678736,-116.689415
Cassia County,1742083,Burley,42.5357428,-113.792794
Clark County,1742084,Dubois,44.176298,-112.23082
Elmore County,1742088,Mountain Home,43.1329504,-115.691197
Gooding County,1742091,Gooding,42.9389067,-114.7131938
Jefferson County,1742093,Rigby,43.6751937,-111.918002
Jerome County,1742094,Jerome,42.7238458,-114.518808
Madison County,1742099,Rexburg,43.8235163,-111.787022
Minidoka County,1742100,Rupert,42.6190756,-113.677234
Oneida County,1742102,Malad,42.1915872,-112.250798
Payette County,1742104,Payette,44.0759382,-116.9350051
Power County,1742105,American Falls,42.7860227,-112.854437
Baker County,1798647,Baker City,44.7748748,-117.834384
