county1,county2
Cook County,Lake County
Cook County,Will County
Cook County,Kane County
Cook County,DuPage County
Lee County,Ogle County
Lee County,Whiteside County
Lee County,LaSalle County
Rock Island County,Whiteside County
Rock Island County,Henry County
Ogle County,Winnebago County
Ogle County,DeKalb County
Will County,Kankakee County
Will County,DuPage County
Will County,Grundy County
Will County,Kendall County
Kankakee County,Iroquois County
Kane County,McHenry County
Kane County,DeKalb County
Kane County,DuPage County
McHenry County,Boone County
Boone County,Winnebago County
Grundy County,Kendall County
Grundy County,Livingston County
Grundy County,LaSalle County
Ford County,Iroquois County
Ford County,Champaign County
Livingston County,McLean County
McLean County,Woodford County
McLean County,Logan County
McLean County,DeWitt County
Woodford County,Tazewell County
Woodford County,Marshall County
Logan County,Sangamon County
Logan County,Tazewell County
Macon County,Sangamon County
Macon County,Piatt County
Montgomery County,Sangamon County
Montgomery County,Macoupin County
Morgan County,Sangamon County
Morgan County,Scott County
Scott County,Pike County
Shelby County,Cumberland County
Shelby County,Effingham County
Tazewell County,Peoria County
Adams County,Pike County
Bureau County,Henry County
Bureau County,Putnam County
Bureau County,LaSalle County
Henry County,Knox County
Knox County,Peoria County
Knox County,Warren County
Marshall County,LaSalle County
Macoupin County,Madison County
Madison County,Saint Clair County
Madison County,Bond County
Alexander County,Pulaski County
Clinton County,Saint Clair County
Clinton County,Washington County
Johnson County,Massac County
Johnson County,Union County
Johnson County,Williamson County
Monroe County,Saint Clair County
Pulaski County,Union County
Union County,Williamson County
Washington County,Jefferson County
Williamson County,Franklin County
Franklin County,Jefferson County
White County,Wayne County
Bond County,Fayette County
Champaign County,Douglas County
Champaign County,Piatt County
Champaign County,Vermilion County
Clark County,Cumberland County
Clay County,Effingham County
Clay County,Fayette County
Coles County,Cumberland County
Coles County,Douglas County
Cumberland County,Effingham County
DeWitt County,Piatt County
Effingham County,Fayette County
Fayette County,Marion County
Jefferson County,Marion County
Jefferson County,Wayne County
