county,id,city_name,lat,lon
Cook County,122576,Chicago,41.8755616,-87.6244212
Lee County,536310,Lee County,41.74856495,-89.285517
Rock Island County,536311,Rock Island,41.5095446,-90.5792031
Ogle County,536312,Oregon,42.0147513,-89.3323279
Lake County,536313,Waukegan,42.3636331,-87.8447938
Will County,963483,Joliet,41.5263603,-88.0840212
Kankakee County,963484,Kankakee,41.1253903,-87.848682
Whiteside County,1357318,Morrison,41.8094058,-89.9649496
Kane County,1383784,Geneva,41.8875281,-88.3053525
McHenry County,1558785,Woodstock,42.3147529,-88.4474302
Henderson County,1790025,Oquawka,40.931982,-90.9470863
Boone County,1799705,Belvidere,42.2579991,-88.841734
Stephenson County,1799708,Freeport,42.2966861,-89.6212271
Winnebago County,1799709,Rockford,42.2713945,-89.093966
DeKalb County,1800059,Sycamore,41.9889173,-88.6867538
DuPage County,1800060,Wheaton,41.8646959,-88.1101709
Grundy County,1800061,Morris,41.3574135,-88.4215234
Kendall County,1800062,Yorkville,41.6411409,-88.4472948
Ford County,1800374,Paxton,40.4603125,-88.0953201
Iroquois County,1800375,Watseka,40.7761465,-87.7364218
Livingston County,1800376,Pontiac,40.8808666,-88.6297839
McLean County,1800377,Bloomington,40.4797828,-88.9939147
Woodford County,1800378,Eureka,40.7213015,-89.2726708
Logan County,1800575,Lincoln,40.1481349,-89.3636569
Macon County,1800576,Decatur,39.8454163,-88.9524151
Montgomery County,1800579,Hillsboro,39.1609575,-89.4933899
Morgan County,1800580,Jacksonville,39.7343697,-90.228782
Sangamon County,1800582,Sangamon,39.7623668,-89.6454905
Scott County,1800583,Winchester,39.62973,-90.4562813
Shelby County,1800584,Shelbyville,39.4064284,-88.7900689
Tazewell County,1800585,Tazewell,40.5126429,-89.5442084
Adams County,1800715,Quincy,39.9356016,-91.4098727
Bureau County,1800717,Princeton,41.368092,-89.4648145
Henry County,1800721,Cambridge,41.3025257,-90.1962861
Knox County,1800722,Galesburg,40.9475652,-90.3712169
Marshall County,1800723,Lacon,41.0247583,-89.4112007
Peoria County,1800725,Peoria,40.6938609,-89.5891008
Pike County,1800726,Pittsfield,39.6078254,-90.805129
Putnam County,1800727,Hennepin,41.2542033,-89.3423112
Warren County,1800730,Monmouth,40.9127103,-90.6472477
Macoupin County,1800760,Carlinville,39.2797699,-89.8817662
Madison County,1800761,Edwardsville,38.8114364,-89.953157
Alexander County,1800890,Cairo,37.0057958,-89.1772449
Clinton County,1800891,Carlyle,38.6103264,-89.3725796
Johnson County,1800893,Vienna,37.4153295,-88.8978435
Massac County,1800894,Metropolis,37.1511655,-88.7319979
Monroe County,1800895,Waterloo,38.3358857,-90.1498341
Pulaski County,1800897,Mound City,37.0853292,-89.1625731
Saint Clair County,1800899,Belleville,38.5135805,-89.9841627
Union County,1800900,Jonesboro,37.4517163,-89.2681402
Washington County,1800901,Nashville,38.3434906,-89.3809783
Williamson County,1800902,Marion,37.7306054,-88.9331256
Franklin County,1800954,Benton,37.9967163,-88.9200685
White County,1800962,Carmi,38.0908796,-88.1586488
Bond County,1801515,Greenville,38.8922687,-89.4131356
Champaign County,1801516,Urbana,40.1117174,-88.207301
Clark County,1801517,Marshall,39.3914252,-87.6936384
Clay County,1801518,Louisville,38.772269,-88.5025485
Coles County,1801520,Charleston,39.4961458,-88.1761521
Cumberland County,1801522,Toledo,39.2736491,-88.2436523
DeWitt County,1801523,Clinton,40.152645,-88.9607122
Douglas County,1801524,Tuscola,39.7998585,-88.2884552
Effingham County,1801527,Effingham,39.1201433,-88.54348
Fayette County,1801528,Vandalia,38.960601,-89.0936778
Jefferson County,1801530,Mount Vernon,38.3172715,-88.9031201
LaSalle County,1801531,Ottawa,41.3516628,-88.845436
Lawrence County,1801532,Lawrenceville,38.7292138,-87.6816927
Marion County,1801533,Salem,38.6269929,-88.9456158
Piatt County,1801534,Monticello,40.026295,-88.567956
Vermilion County,1801537,Danville,40.125222,-87.6304614
Wayne County,1801539,Fairfield,38.378937,-88.3597684
