county1,county2
Dearborn County,Ripley County
Lake County,Newton County
Lake County,Porter County
Newton County,Jasper County
Clay County,Putnam County
Clay County,Vigo County
Greene County,Monroe County
Greene County,Daviess County
Monroe County,Morgan County
Bartholomew County,Jackson County
Bartholomew County,Shelby County
Jackson County,Scott County
Decatur County,Shelby County
Decatur County,Ripley County
Decatur County,Franklin County
Decatur County,Rush County
Shelby County,Johnson County
Shelby County,Rush County
Putnam County,Morgan County
Morgan County,Johnson County
Morgan County,Hendricks County
Johnson County,Marion County
Ripley County,Franklin County
Daviess County,Pike County
Dubois County,Perry County
Dubois County,Spencer County
Pike County,Gibson County
Scott County,Clark County
Allen County,Wells County
Allen County,Huntington County
Allen County,DeKalb County
Wells County,Huntington County
Huntington County,Grant County
DeKalb County,Steuben County
Crawford County,Harrison County
Crawford County,Perry County
Elkhart County,LaGrange County
Elkhart County,Saint Joseph County
Jasper County,White County
LaGrange County,Steuben County
LaPorte County,Saint Joseph County
LaPorte County,Porter County
Saint Joseph County,Marshall County
White County,Tippecanoe County
Fountain County,Montgomery County
Fountain County,Vermillion County
Grant County,Delaware County
Montgomery County,Boone County
Tippecanoe County,Clinton County
Wayne County,Henry County
Clark County,Floyd County
Floyd County,Harrison County
Gibson County,Vanderburgh County
Gibson County,Warrick County
Posey County,Vanderburgh County
Spencer County,Warrick County
Vanderburgh County,Warrick County
Boone County,Clinton County
Boone County,Hendricks County
Boone County,Marion County
Delaware County,Madison County
Hamilton County,Madison County
Hamilton County,Marion County
Hancock County,Henry County
Hancock County,Marion County
Hendricks County,Marion County
Howard County,Tipton County
