county,id,city_name,lat,lon
Dearborn County,214426,Lawrenceburg,39.090891,-84.8499504
Lake County,963485,Crown Point,41.4169806,-87.3653136
Newton County,963486,Kentland,40.7702991,-87.4453445
Clay County,1111455,Brazil,39.523652,-87.1250154
Greene County,1111456,Bloomfield,39.0269903,-86.9375068
Monroe County,1112544,Bloomington,39.1670396,-86.5342881
Bartholomew County,1325365,Columbus,39.2014405,-85.9213796
Jackson County,1325391,Brownstown,38.8789426,-86.0419247
Decatur County,1325550,Greensburg,39.3372722,-85.483581
Shelby County,1325667,Shelbyville,39.5214373,-85.7769238
Putnam County,1458328,Greencastle,39.6444898,-86.8647316
Morgan County,1458343,Martinsville,39.4278253,-86.428328
Johnson County,1481859,Franklin,39.4806056,-86.0549863
Ripley County,1481874,Versailles,39.0720026,-85.2519113
Daviess County,1482336,Washington,38.6592152,-87.172789
Dubois County,1482466,Jasper,38.3914228,-86.9308719
Pike County,1482468,Petersburg,38.4919935,-87.2786244
Scott County,1482474,Scottsburg,38.685614,-85.7702451
Knox County,1482486,Vincennes,38.6772691,-87.5286325
Allen County,1527345,Fort Wayne,41.0799898,-85.1386015
Wells County,1797290,Bluffton,40.7386579,-85.1716368
Huntington County,1797316,Huntington,40.882353,-85.4964727
DeKalb County,1797346,Auburn,41.3669902,-85.0588632
Crawford County,1801521,English,38.3345045,-86.4641498
Elkhart County,1802080,Goshen,41.5850394,-85.8344491
Jasper County,1802081,Rensselaer,40.9367045,-87.1508562
LaGrange County,1802083,LaGrange,41.6417165,-85.4166502
LaPorte County,1802084,La Porte,41.6105983,-86.7225227
Saint Joseph County,1802087,South Bend,41.6833813,-86.2500066
Steuben County,1802089,Angola,41.634874,-84.99928
White County,1802091,Monticello,40.7448704,-86.761883
Marshall County,1802129,Plymouth,41.3436555,-86.3097278
Fountain County,1802225,Covington,40.1370345,-87.3970886
Grant County,1802226,Marion,40.5583739,-85.6591442
Montgomery County,1802229,Crawfordsville,40.0408627,-86.8997385
Tippecanoe County,1802231,Lafayette,40.4191229,-86.8919011
Wayne County,1802233,Richmond,39.8286897,-84.8898521
Franklin County,1802281,Brookville,39.4231065,-85.0127376
Clark County,1804283,Jeffersonville,38.2770227,-85.7371604
Floyd County,1804284,New Albany,38.2856247,-85.8241312
Harrison County,1804287,Corydon,38.2129325,-86.125386
Gibson County,1804394,Princeton,38.355439,-87.5678034
Perry County,1804397,Tell City,37.9508475,-86.7697009
Posey County,1804398,Mount Vernon,37.9318018,-87.8947848
Spencer County,1804399,Rockport,37.8831055,-87.0494408
Vanderburgh County,1804400,Evansville,37.970495,-87.5715641
Vermillion County,1804401,Newport,39.8842049,-87.408627
Vigo County,1804402,Terre Haute,39.4667025,-87.4139119
Warrick County,1804403,Boonville,38.0493288,-87.2746568
Boone County,1812953,Lebanon,40.0483744,-86.4691677
Clinton County,1812954,Frankfort,40.2797657,-86.5108244
Delaware County,1812955,Muncie,40.1936892,-85.3865271
Hamilton County,1812956,Noblesville,40.0455918,-86.0085955
Hancock County,1812957,Greenfield,39.7855096,-85.7681979
Hendricks County,1812958,Danville,39.7606013,-86.5263879
Henry County,1812959,New Castle,39.9289351,-85.3702477
Howard County,1812960,Kokomo,40.4864444,-86.1336351
Madison County,1812961,Anderson,40.1053196,-85.6802541
Marion County,1812962,Indianapolis,39.7683331,-86.1583502
Rush County,1812963,Rushville,39.6080469,-85.4453688
Tipton County,1812964,Tipton,40.2822598,-86.041098
Porter County,13101746,Valparaiso,41.4672552,-87.0604487
