county1,county2
Harvey County,McPherson County
Harvey County,Sedgwick County
McPherson County,Reno County
McPherson County,Saline County
Sedgwick County,Butler County
Sedgwick County,Kingman County
Sedgwick County,Sumner County
Ellis County,Trego County
Ellis County,Russell County
Linn County,Bourbon County
Thomas County,Logan County
Thomas County,Sherman County
Thomas County,Gove County
Wabaunsee County,Riley County
Wabaunsee County,Lyon County
Wabaunsee County,Shawnee County
Wabaunsee County,Osage County
Riley County,Geary County
Dickinson County,Geary County
Dickinson County,Saline County
Logan County,Gove County
Douglas County,Shawnee County
Douglas County,Leavenworth County
Douglas County,Johnson County
Douglas County,Franklin County
Coffey County,Lyon County
Coffey County,Osage County
Butler County,Chase County
Lyon County,Osage County
Lyon County,Chase County
Shawnee County,Osage County
Pratt County,Kingman County
Saline County,Lincoln County
Saline County,Ottawa County
Miami County,Johnson County
Miami County,Franklin County
Trego County,Gove County
Leavenworth County,Wyandotte County
Johnson County,Wyandotte County
Osage County,Franklin County
Russell County,Ellsworth County
Ellsworth County,Lincoln County
