county,id,city_name,lat,lon
Harvey County,962837,Newton,38.0469166,-97.3447244
McPherson County,962838,McPherson,38.3708415,-97.6642087
Sedgwick County,973225,Wichita,37.6922361,-97.3375448
Reno County,1070327,Hutchinson,38.0608444,-97.9297743
Cherokee County,1070328,Columbus,37.1692278,-94.8441239
Ellis County,1070330,Hays,38.8791783,-99.3267702
Linn County,1070331,Mound City,38.142773,-94.8127444
Bourbon County,1070340,Fort Scott,37.8399791,-94.7082882
Thomas County,1070348,Colby,39.3959655,-101.0526881
Wabaunsee County,1070358,Alma,39.016666,-96.289162
Riley County,1070359,Manhattan,39.1836082,-96.5716694
Dickinson County,1070365,Abilene,38.917252,-97.21377
Logan County,1070367,Oakley,39.126385,-100.855611
Douglas County,1070370,Lawrence,38.9719137,-95.2359403
Coffey County,1070372,Burlington,38.1944667,-95.7427641
Butler County,1070373,El Dorado,37.8174581,-96.8572143
Lyon County,1070375,Emporia,38.4040054,-96.181623
Doniphan County,1070376,Troy,39.7858014,-95.0895381
Geary County,1070378,Junction City,39.0286093,-96.8313978
Sherman County,1070380,Goodland,39.350833,-101.710172
Shawnee County,1070387,Topeka,39.049011,-95.677556
Pratt County,1070388,Pratt,37.6439071,-98.7375911
Saline County,1070392,Salina,38.8402805,-97.6114237
Miami County,1070396,Paola,38.5723318,-94.8786484
Trego County,1070397,WaKeeney,39.025008,-99.879566
Leavenworth County,1070403,Leavenworth,39.3113257,-94.922759
Johnson County,1070404,Olathe,38.8838856,-94.81887
Gove County,1070405,Gove,38.957788,-100.488749
Kingman County,1070406,Kingman,37.6458491,-98.1136734
Osage County,1070409,Lyndon,38.6100099,-95.684429
Russell County,1070410,Russell,38.895289,-98.859806
Ellsworth County,1070412,Ellsworth,38.7305648,-98.2281126
Sumner County,1070414,Wellington,37.2675076,-97.3999395
Lincoln County,1070415,Lincoln,39.0408395,-98.1447743
Franklin County,1070416,Ottawa,38.6153828,-95.2678474
Montgomery County,1070418,Independence,37.2242358,-95.7083131
Wyandotte County,1070421,Kansas City,39.1134562,-94.626497
Ottawa County,1070425,Minneapolis,39.1223968,-97.7087076
Chase County,1070426,Cottonwood Falls,38.3722364,-96.5427845
