county1,county2
Fayette County,Madison County
Fayette County,Scott County
Boone County,Kenton County
Boone County,Gallatin County
Boone County,Grant County
Kenton County,Campbell County
Kenton County,Grant County
Livingston County,Lyon County
Livingston County,Marshall County
Bullitt County,Hardin County
Bullitt County,Jefferson County
Carroll County,Gallatin County
Carroll County,Trimble County
Carroll County,Henry County
Hardin County,Grayson County
Hardin County,Hart County
Hardin County,Larue County
Hardin County,Nelson County
Jefferson County,Oldham County
Jefferson County,Shelby County
Oldham County,Henry County
Shelby County,Franklin County
Trimble County,Henry County
Adair County,Metcalfe County
Adair County,Pulaski County
Adair County,Russell County
Barren County,Edmonson County
Barren County,Hart County
Barren County,Metcalfe County
Barren County,Warren County
Boyd County,Carter County
Butler County,Grayson County
Butler County,Ohio County
Butler County,Warren County
Caldwell County,Hopkins County
Caldwell County,Lyon County
Caldwell County,Trigg County
Carter County,Greenup County
Carter County,Rowan County
Christian County,Hopkins County
Christian County,Trigg County
Clark County,Montgomery County
Clark County,Powell County
Daviess County,Henderson County
Daviess County,Ohio County
Franklin County,Woodford County
Anderson County,Mercer County
Anderson County,Washington County
Anderson County,Woodford County
Fulton County,Hickman County
Fulton County,Graves County
Grayson County,Ohio County
Hart County,Larue County
Henderson County,Webster County
Hickman County,Graves County
Hopkins County,Muhlenberg County
Hopkins County,Webster County
Laurel County,Rockcastle County
Laurel County,Whitley County
Lyon County,Trigg County
Madison County,Rockcastle County
Magoffin County,Morgan County
Marshall County,Graves County
Marshall County,McCracken County
Metcalfe County,Pulaski County
Metcalfe County,Russell County
Montgomery County,Bath County
Bath County,Rowan County
Morgan County,Wolfe County
Muhlenberg County,Ohio County
Nelson County,Washington County
Grant County,Scott County
Powell County,Wolfe County
Pulaski County,Russell County
Scott County,Woodford County
Simpson County,Warren County
