county,id,city_name,lat,lon
Fayette County,130537,Lexington,38.0464066,-84.4970393
Boone County,361563,Burlington,39.02756,-84.7241133
Kenton County,361564,Covington,39.0831712,-84.5107548
Campbell County,361567,Alexandria,38.9595078,-84.3879946
Livingston County,1800958,Smithland,37.1389445,-88.4033716
Bullitt County,1804281,Shepherdsville,37.9885936,-85.7158246
Carroll County,1804282,Carrollton,38.6808958,-85.1793979
Gallatin County,1804285,Warsaw,38.7833963,-84.9016151
Hardin County,1804286,Elizabethtown,37.693952,-85.8591285
Jefferson County,1804288,Louisville,38.2542376,-85.759407
Oldham County,1804291,La Grange,38.4075527,-85.3788246
Shelby County,1804292,Shelbyville,38.2120144,-85.2235666
Trimble County,1804295,Bedford,38.592563,-85.3177344
Adair County,1846495,Columbia,37.102841,-85.3063504
Barren County,1846498,Glasgow,36.995906,-85.9124842
Boyd County,1846501,Catlettsburg,38.4048042,-82.6004369
Butler County,1846505,Morgantown,37.2256023,-86.6835998
Caldwell County,1846506,Princeton,37.1092162,-87.8819595
Carter County,1846509,Grayson,38.3325812,-82.9485023
Christian County,1846511,Hopkinsville,36.8657651,-87.4889532
Clark County,1846512,Winchester,37.990079,-84.1796503
Daviess County,1846516,Owensboro,37.7742152,-87.1133304
Edmonson County,1846517,Brownsville,37.1925472,-86.2677545
Franklin County,1846522,Frankfort,38.2009055,-84.8732836
Anderson County,1846523,Lawrenceburg,38.037137800000004,-84.8962551
Fulton County,1846524,Hickman,36.5711721,-89.1861791
Grayson County,1846526,Leitchfield,37.4801693,-86.2936604
Greenup County,1846528,Greenup,38.5731349,-82.8301677
Hart County,1846531,Munfordville,37.2722751,-85.8910819
Henderson County,1846532,Henderson,37.8367513,-87.5907631
Henry County,1846533,New Castle,38.4334003,-85.1696768
Hickman County,1846534,Clinton,36.6672813,-88.9933965
Hopkins County,1846535,Madisonville,37.3280037,-87.4986989
Larue County,1846541,Hodgenville,37.5737487,-85.740353
Laurel County,1846542,London,37.1283343,-84.0835576
Lyon County,1846550,Eddyville,37.0944971,-88.080301
Madison County,1846551,Richmond,37.7478572,-84.2946539
Magoffin County,1846552,Salyersville,37.7525922,-83.0687816
Marshall County,1846554,Benton,36.8572781,-88.350315
Graves County,1846555,Mayfield,36.7413624,-88.6352595
McCracken County,1846558,Paducah,37.0833893,-88.6000478
Mercer County,1846563,Harrodsburg,37.762298,-84.8432852
Metcalfe County,1846564,Edmonton,36.9800563,-85.6121906
Montgomery County,1846566,Mount Sterling,38.0561079,-83.9431961
Bath County,1846567,Owingsville,38.1448015,-83.7640847
Morgan County,1846568,West Liberty,37.9206508,-83.262147
Muhlenberg County,1846569,Greenville,37.2011539,-87.1788854
Nelson County,1846570,Bardstown,37.8092463,-85.4669015
Ohio County,1846572,Hartford,37.4511591,-86.9091596
Grant County,1846574,Williamstown,38.638124500000004,-84.5604977
Pike County,1846577,Pikeville,37.4792672,-82.5187629
Powell County,1846578,Stanton,37.8456373,-83.8582525
Pulaski County,1846579,Somerset,37.0920222,-84.6041084
Rockcastle County,1846581,Mount Vernon,37.3529436,-84.3404195
Rowan County,1846582,Morehead,38.1839705,-83.4326841
Russell County,1846583,Jamestown,36.98479,-85.06301
Scott County,1846584,Georgetown,38.2099837,-84.5597128
Simpson County,1846585,Franklin,36.722263,-86.5772177
Trigg County,1846588,Cadiz,36.8650496,-87.835295
Warren County,1846589,Bowling Green,36.9903199,-86.4436018
Washington County,1846590,Springfield,37.6853413,-85.2221819
Webster County,1846592,Dixon,37.5178218,-87.6902886
Whitley County,1846593,Williamsburg,36.7434169,-84.1596561
Wolfe County,1846594,Campton,37.7342526,-83.547409
Woodford County,1846595,Versailles,38.052576,-84.7299464
