county,id,city_name,lat,lon
Bossier Parish,1827484,Benton,32.6948677,-93.7418454
Caddo Parish,1827485,Shreveport,32.5135356,-93.7477839
DeSoto Parish,1827487,Mansfield,32.0334909,-93.704106
Webster Parish,1827490,Minden,32.6154278,-93.2868354
Orleans Parish,1836428,Orleans Parish,30.0801436,-89.9319134
St. Tammany Parish,1836431,Covington,30.4753525,-90.1010474
Ascension Parish,1836607,Donaldsonville,30.1051938,-90.9875923
Assumption Parish,1836608,Napoleonville,29.9404803,-91.0248214
East Baton Rouge Parish,1836609,Baton Rouge,30.4494155,-91.1869659
Iberville Parish,1836611,Plaquemine,30.2840655,-91.2370772
Lafourche Parish,1836612,Thibodaux,29.7957633,-90.822871
Livingston Parish,1836613,Livingston,30.5021345,-90.7478737
Jefferson Parish,1836614,Gretna,29.9146493,-90.0539604
St. Charles Parish,1836615,Hahnville,29.9765931,-90.4089708
St. James Parish,1836617,Convent,30.0205669,-90.8297092
St. John the Baptist Parish,1836618,Edgard,30.0432578,-90.5600869
Tangipahoa Parish,1836619,Amite,30.7265747,-90.5089815
Terrebonne Parish,1836620,Houma,29.5957696,-90.7195348
West Baton Rouge Parish,1836622,Port Allen,30.45335,-91.2100569
Avoyelles Parish,1837801,Marksville,31.1279652,-92.0662356
Evangeline Parish,1837803,Ville Platte,30.6901838,-92.2774771
Iberia Parish,1837804,New Iberia,30.0035365,-91.8187285
St. Landry Parish,1837806,Opelousas,30.5335302,-92.081509
Saint Martin Parish,1837807,Saint Martinville,30.1252011,-91.8334498
St. Mary Parish,1837809,Franklin,29.7962145,-91.5055523
Lafayette Parish,1837810,Lafayette,30.2262187,-92.0178202
Acadia Parish,1838140,Crowley,30.2140928,-92.3745761
Bienville Parish,1838143,Arcadia,32.5489683,-92.9217754
Calcasieu Parish,1838144,Lake Charles,30.2305095,-93.2169807
Jefferson Davis Parish,1838151,Jennings,30.2224284,-92.657085
Lincoln Parish,1838153,Ruston,32.5297498,-92.6386604
Madison Parish,1838154,Tallulah,32.4084539,-91.1869112
Natchitoches Parish,1838155,Natchitoches,31.7606732,-93.0860209
Ouachita Parish,1838156,Monroe,32.5025471,-92.116219
Rapides Parish,1838157,Alexandria,31.3119463,-92.4453558
Richland Parish,1838159,Rayville,32.4746949,-91.7568292
