county,id,city_name,lat,lon
Berkshire County,61321,Pittsfield,42.4484778,-73.2541069
Essex County,90434,Salem,42.5195292,-70.8967226
Hampden County,1181619,Springfield,42.1018764,-72.5886727
Hampshire County,1838804,Northampton,42.3178989,-72.6311006
Worcester County,1838805,Worcester,42.2625621,-71.8018877
Franklin County,1839610,Greenfield,42.5876342,-72.6002068
Bristol County,1840537,Taunton,41.9019257,-71.0931485
Middlesex County,1840538,Cambridge,42.3656347,-71.1040018
Norfolk County,1840539,Dedham,42.2489143,-71.1755732
Plymouth County,1840540,Brockton,42.0834335,-71.0183787
Barnstable County,2294308,Barnstable,41.7016936,-70.3036163
Suffolk County,2298154,Boston,42.3554334,-71.060511
