county1,county2
Baltimore,Anne Arundel County
Baltimore,Baltimore County
Queen Anne's County,Anne Arundel County
Cecil County,Harford County
Harford County,Baltimore County
Carroll County,Howard County
Carroll County,Frederick County
Howard County,Anne Arundel County
Howard County,Baltimore County
Howard County,Prince George's County
Anne Arundel County,Baltimore County
Anne Arundel County,Prince George's County
Prince George's County,Montgomery County
Montgomery County,Frederick County
Frederick County,Washington County
Washington County,Allegany County
Allegany County,Garrett County
