county,id,city_name,lat,lon
Baltimore,133345,Baltimore,39.2908816,-76.610759
Wicomico County,934717,Salisbury,38.366027,-75.6009964
Queen Anne's County,935850,Centreville,39.0420588,-76.0674344
Cecil County,935944,Elkton,39.6065073,-75.8330934
Harford County,935964,Bel Air,39.5355063,-76.3490396
Carroll County,936281,Westminster,39.5751717,-76.9959168
Howard County,936304,Ellicott City,39.2673284,-76.7983067
Anne Arundel County,936313,Annapolis,38.9786401,-76.492786
Baltimore County,936321,Towson,39.4018513,-76.6023803
Prince George's County,936412,Upper Marlboro,38.8162451,-76.751708
Montgomery County,936970,Rockville,39.0817985,-77.1516844
Frederick County,936973,Frederick,39.415779,-77.4127562
Washington County,936977,Hagerstown,39.6430455,-77.7191081
Allegany County,936978,Cumberland,39.6526498,-78.762383
Garrett County,936979,Oakland,39.4099097,-79.4062658
