county1,county2
Oakland County,Macomb County
Oakland County,Genesee County
Oakland County,Livingston County
Oakland County,Wayne County
Macomb County,Wayne County
Macomb County,Saint Clair County
Lapeer County,Genesee County
Lapeer County,Saint Clair County
Genesee County,Livingston County
Genesee County,Shiawassee County
Genesee County,Saginaw County
Livingston County,Washtenaw County
Livingston County,Ingham County
Washtenaw County,Wayne County
Washtenaw County,Monroe County
Washtenaw County,Jackson County
Wayne County,Monroe County
Berrien County,Van Buren County
Bay County,Arenac County
Bay County,Saginaw County
Bay County,Midland County
Arenac County,Ogemaw County
Shiawassee County,Clinton County
Ingham County,Jackson County
Ingham County,Clinton County
Ingham County,Eaton County
Jackson County,Calhoun County
Clinton County,Eaton County
Clinton County,Ionia County
Eaton County,Calhoun County
Branch County,Calhoun County
Chippewa County,Mackinac County
Allegan County,Kalamazoo County
Allegan County,Kent County
Allegan County,Ottawa County
Allegan County,Van Buren County
Calhoun County,Kalamazoo County
Cheboygan County,Emmet County
Cheboygan County,Otsego County
Clare County,Isabella County
Clare County,Roscommon County
Gratiot County,Isabella County
Ionia County,Kent County
Isabella County,Midland County
Kalamazoo County,Van Buren County
Kent County,Montcalm County
Kent County,Ottawa County
Mason County,Oceana County
Mecosta County,Montcalm County
Mecosta County,Osceola County
Muskegon County,Oceana County
Muskegon County,Ottawa County
Ogemaw County,Roscommon County
Osceola County,Wexford County
Crawford County,Otsego County
Crawford County,Roscommon County
