county,id,city_name,lat,lon
Oakland County,359761,Pontiac,42.6389216,-83.2910468
Macomb County,359762,Mount Clemens,42.5972563,-82.8779754
Lapeer County,359763,Lapeer,43.0514161,-83.3188341
Genesee County,359764,Flint,43.0161693,-83.6900211
Livingston County,359765,Howell,42.6072552,-83.9293952
Washtenaw County,359766,Ann Arbor,42.2813722,-83.7484616
Wayne County,359767,Detroit,42.3315509,-83.046640300000007
Monroe County,407497,Monroe,41.9145037,-83.3968252
Berrien County,407519,Saint Joseph,42.1095808,-86.4799538
Bay County,571344,Bay City,43.5944677,-83.8888648
Arenac County,572624,Standish,43.983076,-83.95888
Saint Clair County,574424,Port Huron,42.9760854,-82.4333742
Shiawassee County,582246,Corunna,42.9819728,-84.1177451
Saginaw County,582247,Saginaw,43.4200387,-83.9490365
Ingham County,901500,Mason,42.5797113,-84.4422845
Jackson County,901501,Jackson,42.2465036,-84.4016963
Clinton County,1582241,St. Johns,43.000928,-84.5585098
Eaton County,1582242,Charlotte,42.5637369,-84.8355792
Branch County,1801747,Coldwater,41.941091,-85.0030617
Chippewa County,1898718,Sault Sainte Marie,46.4976734,-84.3476583
Mackinac County,1898722,Saint Ignace,45.8686238,-84.7278281
Allegan County,1907304,Allegan,42.5291989,-85.8553031
Calhoun County,1907309,Marshall,42.2721367,-84.9642008
Cheboygan County,1907311,Cheboygan,45.646956,-84.47448
Clare County,1907312,Harrison,44.0192188,-84.7997872
Emmet County,1907313,Petoskey,45.373343,-84.95533
Gratiot County,1907314,Ithaca,43.291698,-84.6075
Ionia County,1907315,Ionia,42.9872547,-85.0711174
Isabella County,1907316,Mount Pleasant,43.597646,-84.7668495
Kalamazoo County,1907317,Kalamazoo,42.291707,-85.5872286
Kent County,1907319,Grand Rapids,42.9632425,-85.6678639
Mason County,1907322,Ludington,43.9555406,-86.4477416
Mecosta County,1907323,Big Rapids,43.698078,-85.483656
Midland County,1907324,Midland,43.6155825,-84.2472117
Montcalm County,1907326,Stanton,43.292532,-85.081407
Muskegon County,1907328,Muskegon,43.2341813,-86.2483921
Oceana County,1907330,Hart,43.698341,-86.363965
Ogemaw County,1907331,West Branch,44.276408000000004,-84.238613
Osceola County,1907333,Reed City,43.875017,-85.51005
Crawford County,1907334,Grayling,44.661517,-84.714637
Otsego County,1907336,Gaylord,45.027513,-84.674752
Ottawa County,1907337,Grand Haven,43.0630734,-86.2283864
Roscommon County,1907339,Roscommon,44.49835,-84.591968
Van Buren County,1907340,Paw Paw,42.2178171,-85.8911246
Wexford County,1907341,Cadillac,44.2519526,-85.4011619
