county1,county2
Rock County,Nobles County
Clay County,Wilkin County
Clay County,Otter Tail County
Wilkin County,Otter Tail County
Nobles County,Jackson County
Faribault County,Freeborn County
Faribault County,Martin County
Freeborn County,Mower County
Freeborn County,Steele County
Jackson County,Martin County
Mower County,Olmsted County
Douglas County,Grant County
Douglas County,Stearns County
Douglas County,Otter Tail County
Douglas County,Todd County
Grant County,Otter Tail County
Kandiyohi County,Stearns County
Stearns County,Todd County
Stearns County,Wright County
Sherburne County,Mille Lacs County
Sherburne County,Wright County
Anoka County,Hennepin County
Anoka County,Ramsey County
Anoka County,Washington County
Carlton County,Pine County
Carlton County,Saint Louis County
Carver County,Hennepin County
Chisago County,Pine County
Chisago County,Washington County
Dakota County,Goodhue County
Dakota County,Hennepin County
Dakota County,Ramsey County
Dakota County,Scott County
Dakota County,Washington County
Goodhue County,Olmsted County
Hennepin County,Ramsey County
Hennepin County,Scott County
Hennepin County,Wright County
Nicollet County,Blue Earth County
Ramsey County,Washington County
Rice County,Scott County
Rice County,Steele County
Waseca County,Steele County
Dodge County,Steele County
Olmsted County,Winona County
