county,id,city_name,lat,lon
Rock County,1739849,Luverne,43.6542342,-96.2127811
Clay County,1740278,Moorhead,46.8739081,-96.7538674
Wilkin County,1740320,Breckenridge,46.265205,-96.581626
Nobles County,1789137,Worthington,43.6205056,-95.5956434
Faribault County,1792984,Blue Earth,43.637455,-94.1021821
Freeborn County,1792985,Albert Lea,43.6480127,-93.3682656
Jackson County,1792986,Jackson,43.6207916,-94.9886022
Martin County,1792987,Fairmont,43.6521775,-94.4610832
Mower County,1792988,Austin,43.6679992,-92.9746498
Douglas County,1795711,Alexandria,45.8835101,-95.3745015
Grant County,1795712,Elbow Lake,45.994127,-95.976721
Kandiyohi County,1795713,Willmar,45.1219492,-95.0435373
Stearns County,1795714,Saint Cloud,45.5616075,-94.1642004
Morrison County,1795715,Little Falls,45.9763545,-94.3625024
Otter Tail County,1795716,Fergus Falls,46.283015,-96.077558
Sherburne County,1795718,Elk River,45.3038538,-93.5671825
Todd County,1795721,Long Prairie,45.9741126,-94.8652642
Benton County,1795787,Foley,45.663512,-93.9137277
Mille Lacs County,1795788,Milaca,45.755799,-93.6544079
Anoka County,1795840,Anoka,45.1977428,-93.3871758
Carlton County,1795842,Carlton,46.6638322,-92.4249135
Carver County,1795843,Chaska,44.7894072,-93.6021791
Chisago County,1795845,Center City,45.3938525,-92.8166024
Dakota County,1795846,Hastings,44.7426933,-92.8518697
Goodhue County,1795847,Red Wing,44.5624676,-92.5338013
Hennepin County,1795848,Minneapolis,44.9772995,-93.2654692
Isanti County,1795849,Cambridge,45.5727408,-93.2243921
Nicollet County,1795853,Saint Peter,44.3238384,-93.9585295
Pine County,1795855,Pine City,45.8260672,-92.9685423
Ramsey County,1795856,Saint Paul,44.9497487,-93.0931028
Rice County,1795858,Faribault,44.2949637,-93.268827
Scott County,1795859,Shakopee,44.7980186,-93.5268986
Washington County,1795861,Stillwater,45.0564041,-92.8134982
Wright County,1795862,Buffalo,45.1719084,-93.8746941
Blue Earth County,1795877,Mankato,44.1634663,-93.9993505
Waseca County,1795881,Waseca,44.0776638,-93.5075767
Watonwan County,1795882,Saint James,43.9824577,-94.6269181
Beltrami County,1796043,Bemidji,47.4785418,-94.8907869
Crow Wing County,1796047,Brainerd,46.3580221,-94.2008288
Saint Louis County,1796056,Duluth,46.7729322,-92.1251218
Dodge County,1797827,Mantorville,44.0678403,-92.7551315
Olmsted County,1797828,Rochester,44.0234387,-92.4630182
Steele County,1797829,Owatonna,44.0839937,-93.2261076
Winona County,1797832,Winona,44.0500054,-91.6392294
