county1,county2
DeKalb County,Clinton County
DeKalb County,Caldwell County
Perry County,Ste. Genevieve County
Perry County,Cape Girardeau County
Ste. Genevieve County,Jefferson County
Franklin County,Saint Louis County
Franklin County,Crawford County
Miller County,Camden County
Callaway County,Boone County
Callaway County,Cole County
Callaway County,Montgomery County
Platte County,Buchanan County
Platte County,Clay County
Barton County,Jasper County
Barton County,Vernon County
Saint Louis County,Jefferson County
Saint Louis County,Saint Charles County
Saint Louis County,Saint Louis
Saline County,Cooper County
Saline County,Lafayette County
Webster County,Laclede County
Webster County,Greene County
Daviess County,Caldwell County
Daviess County,Harrison County
Jackson County,Cass County
Jackson County,Clay County
Buchanan County,Andrew County
Cass County,Bates County
Pulaski County,Laclede County
Pulaski County,Phelps County
Christian County,Greene County
Cape Girardeau County,Scott County
Jasper County,Newton County
Lawrence County,Greene County
Clinton County,Clay County
McDonald County,Newton County
Mississippi County,Scott County
Wright County,Texas County
Cooper County,Boone County
Holt County,Atchison County
Holt County,Andrew County
Ray County,Lafayette County
Taney County,Stone County
Crawford County,Phelps County
Bates County,Vernon County
New Madrid County,Pemiscot County
New Madrid County,Scott County
Warren County,Saint Charles County
Warren County,Montgomery County
Saint Charles County,Montgomery County
