county,id,city_name,lat,lon
DeKalb County,1180440,Maysville,39.8891658,-94.3618967
Perry County,1180441,Perryville,37.7275127,-89.8645455
Macon County,1180446,Macon,39.7422561,-92.4726859
Ste. Genevieve County,1180447,Sainte Genevieve,37.9814415,-90.041779
Franklin County,1180448,Union,38.4443875,-91.0082308
Miller County,1180449,Tuscumbia,38.2330898,-92.4585154
Callaway County,1180450,Fulton,38.8467082,-91.9479586
Platte County,1180451,Platte City,39.3671841,-94.7795799
Barton County,1180455,Lamar,37.4950527,-94.2768736
Saint Louis County,1180456,Clayton,38.6504352,-90.3362473
Saline County,1180457,Marshall,39.1230777,-93.1968704
Webster County,1180458,Marshfield,37.3302192,-92.9068984
Daviess County,1180459,Gallatin,39.9148326,-93.9622221
Jackson County,1180462,Kansas City,39.100105,-94.5781416
Buchanan County,1180464,Saint Joseph,39.7686055,-94.8466322
Cass County,1180465,Harrisonville,38.655124,-94.3471072
Jefferson County,1180468,Hillsboro,38.2322766,-90.5629034
Pulaski County,1180471,Waynesville,37.8141419,-92.2266876
Christian County,1180472,Ozark,37.0207065,-93.2052833
Cape Girardeau County,1180474,Jackson,37.3828316,-89.6684487
Jasper County,1180476,Carthage,37.1765141,-94.3103412
Polk County,1180479,Bolivar,37.6110502,-93.4107968
Laclede County,1180480,Lebanon,37.6806669,-92.6637835
Lawrence County,1180481,Mount Vernon,37.1036666,-93.8185401
Clinton County,1180483,Plattsburg,39.5663941,-94.4521341
McDonald County,1180485,Pineville,36.5945173,-94.3841031
Mississippi County,1180487,Charleston,36.9233026,-89.3501172
Wright County,1180489,Hartville,37.2484242,-92.5126763
Cooper County,1180490,Boonville,38.9751547,-92.7440277
Newton County,1180491,Neosho,36.8665201,-94.3701651
Texas County,1180492,Houston,37.3261588,-91.955988
Saint Francois County,1180493,Farmington,37.7803037,-90.4226371
Lincoln County,1180494,Troy,38.9794923,-90.9806954
Holt County,1180496,Oregon,39.9869407,-95.1449753
Lewis County,1180497,Monticello,40.1183771,-91.7121074
Ray County,1180498,Richmond,39.278622,-93.9768876
Camden County,1180499,Camdenton,38.0050131,-92.7507122
Benton County,1180501,Warsaw,38.2442186,-93.3774013
Taney County,1180503,Forsyth,36.6850612,-93.1199012
Crawford County,1180505,Steelville,37.9680999,-91.354868
Howell County,1180506,West Plains,36.7281652,-91.8525756
Boone County,1180507,Columbia,38.951883,-92.3337366
Clay County,1180508,Liberty,39.246479,-94.419079
Madison County,1180512,Fredericktown,37.5597754,-90.294007
Bates County,1180515,Butler,38.2587399,-94.3329016
Atchison County,1180516,Rock Port,40.4111122,-95.5169286
New Madrid County,1180518,New Madrid,36.5864488,-89.5278547
Stoddard County,1180521,Bloomfield,36.8858853,-89.9292572
Warren County,1180522,Warrenton,38.810751,-91.150268
Saint Charles County,1180527,Saint Charles,38.783855,-90.481677
Caldwell County,1180528,Kingston,39.6428515,-94.039081
Andrew County,1180529,Savannah,39.9413678,-94.829946
Pemiscot County,1180532,Caruthersville,36.191663,-89.6548449
Saint Louis,1180533,Saint Louis,38.6280278,-90.1910154
Greene County,1180534,Springfield,37.2081729,-93.2922715
Harrison County,1180535,Bethany,40.2683344,-94.0282861
Cole County,1180536,Jefferson City,38.577359,-92.1724265
Montgomery County,1180537,Montgomery City,38.9775406,-91.5048844
Stone County,1180538,Galena,36.8053375,-93.466579
Vernon County,1180539,Nevada,37.8381108,-94.3596185
Pike County,1180540,Bowling Green,39.3419891,-91.1951437
Randolph County,1180544,Huntsville,39.4405891,-92.5451834
Johnson County,1180546,Warrensburg,38.7624373,-93.7409596
Butler County,1180547,Poplar Bluff,36.7568327,-90.3957115
Phelps County,1180548,Rolla,37.9509324,-91.7708076
Marion County,1180549,Palmyra,39.7942213,-91.523255700000007
Scott County,1180550,Benton,37.1007031,-89.5602674
Lafayette County,1180551,Lexington,39.1851824,-93.8828515
