county1,county2
Benton County,Marshall County
Benton County,Union County
DeSoto County,Marshall County
DeSoto County,Tunica County
DeSoto County,Tate County
Forrest County,Lamar County
Forrest County,Jones County
Hancock County,Harrison County
Harrison County,Jackson County
Lamar County,Pearl River County
Jones County,Jasper County
Carroll County,Grenada County
Carroll County,Holmes County
Carroll County,Montgomery County
Clarke County,Jasper County
Clarke County,Lauderdale County
Copiah County,Hinds County
Copiah County,Lincoln County
Grenada County,Yalobusha County
Hinds County,Madison County
Hinds County,Rankin County
Hinds County,Warren County
Holmes County,Yazoo County
Itawamba County,Lee County
Lauderdale County,Newton County
Lee County,Pontotoc County
Lincoln County,Pike County
Lowndes County,Oktibbeha County
Madison County,Yazoo County
Newton County,Scott County
Panola County,Tate County
Panola County,Yalobusha County
Pontotoc County,Union County
Rankin County,Scott County
