county,id,city_name,lat,lon
Benton County,1829175,Ashland,34.832872,-89.1759026
Coahoma County,1829176,Clarksdale,34.2006479,-90.5702071
DeSoto County,1829177,Hernando,34.8239518,-89.9937018
Marshall County,1829179,Holly Springs,34.76801,-89.4478784
Tunica County,1829181,Tunica,34.6845102,-90.382877
Forrest County,1832965,Hattiesburg,31.3271189,-89.2903392
Hancock County,1832968,Bay St. Louis,30.3105666,-89.3275482
Harrison County,1832969,Gulfport,30.3674198,-89.0928155
Jackson County,1832970,Pascagoula,30.3646795,-88.5585995
Lamar County,1832971,Purvis,31.1443351,-89.406955
Pearl River County,1832972,Poplarville,30.8401495,-89.5342315
Jones County,1832990,Ellisville,31.6047734,-89.195641
Alcorn County,1833610,Corinth,34.9343599,-88.5223353
Carroll County,1833614,Carrollton,33.5081773,-89.9203608
Clarke County,1833618,Quitman,32.0401499,-88.7281
Copiah County,1833620,Hazlehurst,31.8604382,-90.3959255
Grenada County,1833622,Grenada,33.7690049,-89.8084192
Hinds County,1833623,Raymond,32.2592783,-90.4225951
Holmes County,1833624,Lexington,33.1131834,-90.0531408
Itawamba County,1833627,Fulton,34.2739933,-88.4092133
Jasper County,1833628,Paulding,32.0305346,-89.037267
Lafayette County,1833631,Oxford,34.3663773,-89.5187664
Lauderdale County,1833632,Meridian,32.3643098,-88.703656
Lee County,1833634,Tupelo,34.2576067,-88.7033859
Lincoln County,1833636,Brookhaven,31.5790667,-90.4407122
Lowndes County,1833637,Columbus,33.4956744,-88.4272627
Madison County,1833638,Canton,32.612602,-90.0367512
Montgomery County,1833640,Winona,33.4822954,-89.7277222
Newton County,1833642,Decatur,32.4390303,-89.1083912
Oktibbeha County,1833644,Starkville,33.4638745,-88.8152074
Panola County,1833645,Batesville,34.316488,-89.9527108
Pike County,1833646,Magnolia,31.1432328,-90.4587081
Pontotoc County,1833647,Pontotoc,34.2478831,-88.998673
Rankin County,1833650,Brandon,32.2731475,-89.9868058
Scott County,1833651,Forest,32.3645888,-89.4742348
Tate County,1833658,Senatobia,34.6187807,-89.9646282
Union County,1833660,New Albany,34.4942683,-89.0078418
Warren County,1833662,Vicksburg,32.3528055,-90.8777342
Yalobusha County,1833666,Coffeeville,33.9767793,-89.675641
Yazoo County,1833667,Yazoo City,32.84569,-90.4146109
