county,id,city_name,lat,lon
Deer Lodge County,142396,Anaconda,46.1294685,-112.953131
Big Horn County,288661,Hardin,45.7324778,-107.612031
Beaverhead County,418305,Dillon,45.2141249,-112.6346079
Mineral County,555127,Superior,47.1915937,-114.891797
Sweet Grass County,1242988,Big Timber,45.834901,-109.955311
Park County,1242989,Livingston,45.6623873,-110.5615899
Gallatin County,1242990,Bozeman,45.6794293,-111.044047
Stillwater County,1242992,Columbus,45.6366114,-109.252154
Wibaux County,1740319,Wibaux,46.985014,-104.188269
Broadwater County,1740618,Townsend,46.319098,-111.520802
Cascade County,1740619,Great Falls,47.5048851,-111.29189
Custer County,1740621,Miles City,46.4085273,-105.840981
Dawson County,1740623,Glendive,47.10529,-104.71246
Granite County,1740628,Philipsburg,46.3321878,-113.2944992
Jefferson County,1740630,Boulder,46.236595,-112.120834
Lewis and Clark County,1740633,Helena,46.5927425,-112.036277
Madison County,1740635,Virginia City,45.2935505,-111.9442329
Missoula County,1740638,Missoula,46.8701049,-113.995267
Pondera County,1740642,Conrad,48.170251,-111.943019
Powell County,1740644,Deer Lodge,46.395761,-112.730038
Prairie County,1740645,Terry,46.793063,-105.312209
Rosebud County,1740647,Forsyth,46.266384,-106.677812
Silver Bow County,1740649,Butte,46.0131505,-112.536508
Teton County,1740650,Choteau,47.812243,-112.183375
Toole County,1740651,Shelby,48.5054997,-111.856872
Treasure County,1740652,Hysham,46.2913623,-107.2315145
Yellowstone County,1740655,Billings,45.7874957,-108.49607
