county,id,city_name,lat,lon
Perquimans County,1242001,Hertford,36.190158,-76.4660519
Pasquotank County,1242004,Elizabeth City,36.3010192,-76.2203699
Bertie County,1242005,Windsor,35.9984925,-76.9460641
Chowan County,1242006,Edenton,36.057938,-76.6077213
Alamance County,2528669,Graham,36.0690258,-79.4005756
Beaufort County,2528675,Washington,35.5422221,-77.055346
Brunswick County,2528677,Bolivia,34.0676715,-78.1483283
Buncombe County,2528678,Asheville,35.595363,-82.5508407
Burke County,2528679,Morganton,35.7454291,-81.6870837
Cabarrus County,2528680,Concord,35.4094178,-80.5800049
Caswell County,2528683,Yanceyville,36.4040273,-79.3361314
Catawba County,2528684,Newton,35.6630887,-81.2219363
Chatham County,2528685,Pittsboro,35.7201229,-79.1771539
Cleveland County,2528688,Shelby,35.2923513,-81.5356463
Columbus County,2528689,Whiteville,34.3387802,-78.7030721
Craven County,2528690,New Bern,35.1084931,-77.0441143
Cumberland County,2528692,Fayetteville,35.0525759,-78.878292
Davidson County,2528693,Lexington,35.8240265,-80.2533838
Davie County,2528694,Mocksville,35.8940236,-80.5617846
Duplin County,2528695,Kenansville,34.9623883,-77.9622069
Durham County,2528696,Durham,35.996653,-78.9018053
Wake County,2528697,Raleigh,35.7803977,-78.6390989
Edgecombe County,2528698,Tarboro,35.8968236,-77.5358049
Forsyth County,2528699,Winston-Salem,36.0998131,-80.2440518
Franklin County,2528700,Louisburg,36.0990393,-78.301106
Gaston County,2528701,Gastonia,35.2622654,-81.1838186
Granville County,2528703,Oxford,36.3107004,-78.5908345
Greene County,2528704,Snow Hill,35.4515504,-77.6810859
Guilford County,2528705,Greensboro,36.0726355,-79.7919754
Halifax County,2528706,Halifax,36.3286329,-77.5897391
Harnett County,2528707,Lillington,35.399121,-78.8156001
Haywood County,2528708,Waynesville,35.4887476,-82.9888725
Henderson County,2528709,Hendersonville,35.3187279,-82.4609528
Iredell County,2528711,Statesville,35.7826363,-80.8872959
Jackson County,2528712,Sylva,35.3737293,-83.2259222
Johnston County,2528713,Smithfield,35.5111996,-78.346102
Jones County,2528714,Trenton,35.0636588,-77.3534758
Lee County,2528715,Sanford,35.4798757,-79.1802994
Lenoir County,2528716,Kinston,35.2626635,-77.5816353
Lincoln County,2528717,Lincolnton,35.473745,-81.2545251
Macon County,2528718,Franklin,35.1823171,-83.3815429
Madison County,2528719,Marshall,35.7974807,-82.6839313
Martin County,2528720,Williamston,35.8546039,-77.0555114
McDowell County,2528721,Marion,35.6841022,-82.0091028
Mecklenburg County,2528722,Charlotte,35.2272086,-80.8430827
Montgomery County,2528724,Troy,35.3584743,-79.8944901
Moore County,2528725,Carthage,35.345802,-79.4170543
Nash County,2528726,Nashville,35.974598,-77.9655406
New Hanover County,2528727,Wilmington,34.2257282,-77.9447107
Northampton County,2528728,Jackson,36.3896747,-77.4214855
Onslow County,2528729,Jacksonville,34.7494749,-77.4208221
Orange County,2528730,Hillsborough,36.0752088,-79.0992085
Pender County,2528732,Burgaw,34.5521113,-77.926098
Pitt County,2528734,Greenville,35.613224,-77.3724593
Polk County,2528735,Columbus,35.2531698,-82.1970584
Randolph County,2528736,Asheboro,35.7079146,-79.8136446
Richmond County,2528737,Rockingham,34.9393201,-79.7739457
Robeson County,2528738,Lumberton,34.6183305,-79.008205
Rockingham County,2528739,Wentworth,36.4001371,-79.7744792
Rowan County,2528740,Salisbury,35.6709727,-80.4742261
Rutherford County,2528741,Rutherfordton,35.3692877,-81.9567716
Sampson County,2528742,Clinton,34.9979453,-78.3233325
Scotland County,2528743,Laurinburg,34.7740495,-79.4628248
Stokes County,2528745,Danbury,36.4093047,-80.2058831
Surry County,2528746,Dobson,36.3956891,-80.722567
Swain County,2528747,Bryson City,35.4309291,-83.447381
Tyrrell County,2528749,Columbia,35.9176633,-76.2521521
Union County,2528750,Monroe,34.9854275,-80.5495112
Vance County,2528751,Henderson,36.3273648,-78.4027265
Warren County,2528752,Warrenton,36.3984804,-78.1552706
Washington County,2528753,Plymouth,35.8668281,-76.7485555
Wayne County,2528755,Goldsboro,35.3848841,-77.9927651
Wilkes County,2528756,Wilkesboro,36.1483916,-81.1517636
Wilson County,2528757,Wilson,35.7241718,-77.9115243
Yadkin County,2528758,Yadkinville,36.1345807,-80.6595079
