county,id,city_name,lat,lon
Billings County,1271252,Medora,46.9139028,-103.5243536
Stark County,1271253,Dickinson,46.8791756,-102.7896242
Golden Valley County,1271256,Beach,46.9180689,-104.0043728
Richland County,1739847,Wahpeton,46.265879,-96.608863
Barnes County,1740271,Valley City,46.923313,-98.003155
Burleigh County,1740275,Bismarck,46.808327,-100.783739
Cass County,1740276,Fargo,46.877229,-96.789821
Grand Forks County,1740282,Grand Forks,47.9252104,-97.0306325
Kidder County,1740286,Steele,46.8547446,-99.9155172
Morton County,1740294,Mandan,46.826415,-100.889704
Pembina County,1740299,Cavalier,48.7938814,-97.6223098
Stutsman County,1740313,Jamestown,46.910544,-98.708436
Traill County,1740315,Hillsboro,47.4038683,-97.0620308
Walsh County,1740316,Grafton,48.4122108,-97.410634
Ward County,1740317,Minot,48.23251,-101.296273
