county,id,city_name,lat,lon
Deuel County,1411464,Chappell,41.0925418,-102.471009
Cheyenne County,1411465,Sidney,41.1448682,-102.9767382
Kimball County,1411467,Kimball,41.2371713,-103.6629577
Sarpy County,1425397,Papillion,41.1544433,-96.0422378
Woodbury County,1425400,Sioux City,42.4966815,-96.4058782
Douglas County,1425409,Omaha,41.2587459,-95.9383758
Dodge County,1425430,Fremont,41.4338363,-96.4960449
Seward County,1425433,Seward,40.9070037,-97.0989176
York County,1425436,York,40.8680593,-97.5919166
Cass County,1425442,Plattsmouth,41.0111979,-95.8862157
Dakota County,1425447,Dakota City,42.4153516,-96.41853
Keith County,1425448,Ogallala,41.1248328,-101.7189583
Dawson County,1425450,Lexington,40.7788486,-99.7414869
Lancaster County,1425457,Lincoln,40.8088861,-96.7077751
Hamilton County,1425460,Aurora,40.866888,-98.004508
Buffalo County,1425468,Kearney,40.699478,-99.081858
Lincoln County,1425478,North Platte,41.1238873,-100.7654232
Hall County,1425482,Grand Island,40.924271,-98.338685
