county1,county2
Essex County,Union County
Essex County,Hudson County
Essex County,Morris County
Essex County,Passaic County
Union County,Middlesex County
Union County,Somerset County
Hudson County,Bergen County
Bergen County,Passaic County
Middlesex County,Monmouth County
Middlesex County,Mercer County
Middlesex County,Somerset County
Monmouth County,Mercer County
Monmouth County,Ocean County
Mercer County,Burlington County
Ocean County,Burlington County
Camden County,Burlington County
Camden County,Atlantic County
Camden County,Gloucester County
Burlington County,Atlantic County
Somerset County,Hunterdon County
Somerset County,Morris County
Hunterdon County,Warren County
Salem County,Cumberland County
Salem County,Gloucester County
Atlantic County,Cape May County
Morris County,Passaic County
Morris County,Sussex County
Sussex County,Warren County
