county,id,city_name,lat,lon
Essex County,957235,Newark,40.735657,-74.1723667
Union County,957236,Elizabeth,40.6639916,-74.2107006
Hudson County,957239,Jersey City,40.7215682,-74.047455
Bergen County,958930,Bergen,40.9678345,-74.0563254
Middlesex County,961153,New Brunswick,40.4951365,-74.4439254
Monmouth County,961390,Freehold,40.2601096,-74.2737573
Mercer County,961745,Trenton,40.2203074,-74.7659
Ocean County,962550,Toms River,39.9526791,-74.1968257
Camden County,962883,Camden,39.9448402,-75.1198911
Burlington County,963152,Mount Holly,39.9928898,-74.7876624
Somerset County,963378,Somerville,40.5742696,-74.60988
Hunterdon County,964658,Hunterdon,40.5770634,-74.9261552
Salem County,1863173,Salem,39.5717796,-75.4671423
Cumberland County,2417970,Cumberland,39.3183341,-75.1623239
Atlantic County,2560066,Mays Landing,39.4523326,-74.727661
Cape May County,2560067,Cape May Court House,39.0826139,-74.8237858
Gloucester County,2560068,Woodbury,39.8381691,-75.1526774
Morris County,2560069,Morristown,40.7970382,-74.4809868
Passaic County,2560070,Paterson,40.9167654,-74.171811
Sussex County,2560071,Newton,41.0582103,-74.7530943
Warren County,2560072,Belvidere,40.8299357,-75.0782702
