county1,county2
Colfax County,Mora County
Santa Fe County,San Miguel County
Santa Fe County,Sandoval County
Santa Fe County,Bernalillo County
Santa Fe County,Torrance County
San Miguel County,Mora County
Sandoval County,Bernalillo County
Bernalillo County,Cibola County
Bernalillo County,Valencia County
Cibola County,McKinley County
Doña Ana County,Luna County
Doña Ana County,Sierra County
Grant County,Hidalgo County
Grant County,Luna County
Guadalupe County,Quay County
Guadalupe County,Torrance County
Hidalgo County,Luna County
Sierra County,Socorro County
Socorro County,Valencia County
