county,id,city_name,lat,lon
Colfax County,421121,Raton,36.8979234,-104.4354816
Santa Fe County,1344186,Santa Fe,35.6876096,-105.938456
San Miguel County,1344187,Las Vegas,35.5939325,-105.223896
Mora County,1344188,Mora,35.9741536,-105.329942
Sandoval County,1344295,Bernalillo,35.3009305,-106.551425
Bernalillo County,1832180,Albuquerque,35.0841034,-106.650985
Cibola County,1832183,Grants,35.14726,-107.851446
Doña Ana County,1832188,Las Cruces,32.3140354,-106.779807
Grant County,1832192,Silver City,32.7711825,-108.2764164
Guadalupe County,1832194,Santa Rosa,34.93867,-104.682489
Hidalgo County,1832196,Lordsburg,32.3504143,-108.708434
Luna County,1832200,Deming,32.2627416,-107.7581979
McKinley County,1832202,Gallup,35.5283506,-108.743907
Quay County,1832208,Tucumcari,35.1719425,-103.72504
Sierra County,1832211,Truth or Consequences,33.1283485,-107.2529059
Socorro County,1832212,Socorro,34.0572858,-106.8930799
Torrance County,1832213,Estancia,34.7583935,-106.05585
Valencia County,1832214,Los Lunas,34.8142093,-106.7613067
