county,id,city_name,lat,lon
Lyon County,166455,Yerington,38.9855429,-119.162989
Washoe County,166456,Reno,39.5261206,-119.8126581
Eureka County,166457,Eureka,39.5124951,-115.960898
Humboldt County,166458,Winnemucca,40.9724295,-117.734802
Pershing County,166459,Lovelock,40.1801273,-118.4747268
Carson City,166460,Carson City,39.1663259,-119.7670374
Elko County,166462,Elko,40.83269,-115.7630942
Churchill County,166464,Fallon,39.4745166,-118.777895
Lander County,166466,Battle Mountain,40.6418373,-116.938478
Clark County,166468,Las Vegas,36.1672559,-115.148516
Storey County,166470,Virginia City,39.3108133,-119.649517
