county,id,city_name,lat,lon
Erie County,416693,Erie,42.1294712,-80.0852695
Niagara County,36267,Niagara,43.2042439,-78.7676017
Genesee County,78970,Batavia,42.9980144,-78.1875515
Cattaraugus County,78971,Little Valley,42.252563,-78.80559
Clinton County,87689,Plattsburgh,44.6951801,-73.4549227
Essex County,87741,Elizabethtown,44.216171,-73.591232
Warren County,87979,Queensbury,43.3772932,-73.6131714
Kings County,369518,Kings County,40.6448865,-73.9448165
Queens County,369519,Queens County,40.652128,-73.8720065
Suffolk County,404243,Riverhead,40.9168692,-72.6624189
Richmond County,962876,Staten Island,40.5834557,-74.1496048
Rensselaer County,1427734,Troy,42.7284117,-73.6917878
Columbia County,1427757,Hudson,42.2528649,-73.790959
Dutchess County,1427979,Poughkeepsie,41.7065539,-73.9283672
Albany County,1428091,Albany,42.6511674,-73.754968
Schenectady County,1428121,Schenectady,42.8142432,-73.9395687
Saratoga County,1428790,Ballston Spa,43.0009087,-73.8490111
Monroe County,1804311,Rochester,43.157285,-77.615214
Oswego County,1835253,Oswego,43.4547284,-76.5095967
Jefferson County,1835268,Watertown,43.9747838,-75.9107565
Herkimer County,1835283,Herkimer,43.0256259,-74.9859889
Madison County,1835284,Wampsville,43.075408,-75.70713
Orange County,1835362,Goshen,41.4021497,-74.3242129
Rockland County,1835363,New City,41.1469917,-73.9902998
Allegany County,1837989,Belmont,42.2231241,-78.0344506
Chemung County,1837991,Elmira,42.0897965,-76.8077338
Livingston County,1837992,Geneseo,42.795896,-77.816947
Ontario County,1837993,Canandaigua,42.8858579,-77.2799761
Seneca County,1837995,Waterloo,42.9046933,-76.8627887
Steuben County,1837996,Bath,42.3370164,-77.3177577
Broome County,1838014,Binghamton,42.098698,-75.9125187
Chenango County,1838015,Norwich,42.5311809,-75.5235149
Cortland County,1838016,Cortland,42.6011813,-76.1804843
Delaware County,1838017,Delhi,42.2781401,-74.9159946
Greene County,1838018,Catskill,42.2173102,-73.8645734
Onondaga County,1838019,Syracuse,43.0481221,-76.1474244
Otsego County,1838021,Cooperstown,42.7006303,-74.924321
Putnam County,1838022,Carmel,41.4266361,-73.6788272
Sullivan County,1838023,Monticello,41.6556465,-74.6893282
Tioga County,1838024,Owego,42.1034528,-76.2622669
Tompkins County,1838025,Ithaca,42.4396039,-76.4968019
Ulster County,1838026,Kingston,41.9287812,-74.0023702
Westchester County,1838027,White Plains,41.0339862,-73.7629097
Chautauqua County,1838089,Mayville,42.253947,-79.504491
Montgomery County,1838102,Fonda,42.9544248,-74.3769163
Oneida County,1838104,Utica,43.1009031,-75.2326641
Schoharie County,1838138,Schoharie,42.6659088,-74.3095787
Nassau County,2552442,Mineola,40.7492678,-73.6406845
Bronx County,2552450,Bronx County,40.851684500000005,-73.8411405
New York County,2552485,New York County,40.780833,-73.976988
Cayuga County,3379365,Auburn,42.9320202,-76.5672029
