county1,county2
Warren County,Clinton County
Warren County,Montgomery County
Warren County,Butler County
Warren County,Hamilton County
Clermont County,Hamilton County
Clinton County,Greene County
Greene County,Montgomery County
Greene County,Clark County
Greene County,Fayette County
Montgomery County,Clark County
Montgomery County,Preble County
Montgomery County,Miami County
Butler County,Hamilton County
Franklin County,Madison County
Franklin County,Union County
Franklin County,Delaware County
Franklin County,Licking County
Madison County,Pickaway County
Madison County,Clark County
Madison County,Fayette County
Union County,Logan County
Delaware County,Morrow County
Licking County,Fairfield County
Licking County,Muskingum County
Clark County,Champaign County
Marion County,Wyandot County
Morrow County,Richland County
Muskingum County,Guernsey County
Hocking County,Athens County
Ross County,Fayette County
Lorain County,Erie County
Lorain County,Cuyahoga County
Erie County,Ottawa County
Erie County,Sandusky County
Lake County,Cuyahoga County
Lake County,Ashtabula County
Ottawa County,Sandusky County
Ottawa County,Wood County
Cuyahoga County,Geauga County
Cuyahoga County,Medina County
Cuyahoga County,Summit County
Ashtabula County,Trumbull County
Lucas County,Henry County
Lucas County,Fulton County
Lucas County,Wood County
Ashland County,Richland County
Auglaize County,Allen County
Auglaize County,Shelby County
Hancock County,Allen County
Hancock County,Wood County
Columbiana County,Jefferson County
Columbiana County,Mahoning County
Allen County,Putnam County
Jefferson County,Belmont County
Crawford County,Richland County
Fulton County,Williams County
Belmont County,Guernsey County
Defiance County,Paulding County
Guernsey County,Noble County
Guernsey County,Tuscarawas County
Portage County,Trumbull County
Portage County,Summit County
Portage County,Mahoning County
Washington County,Noble County
Shelby County,Miami County
Medina County,Summit County
Van Wert County,Putnam County
Stark County,Wayne County
Stark County,Tuscarawas County
Stark County,Summit County
Trumbull County,Mahoning County
