county,id,city_name,lat,lon
Warren County,104778,Lebanon,39.4353373,-84.2029922
Clermont County,104779,Batavia,39.0770072,-84.1768795
Clinton County,104780,Wilmington,39.4453393,-83.8285375
Greene County,104781,Xenia,39.6847822,-83.9296526
Montgomery County,104782,Dayton,39.7589478,-84.1916069
Butler County,104783,Hamilton,39.3995067,-84.5613428
Hamilton County,104784,Cincinnati,39.1014537,-84.5124602
Franklin County,177915,Columbus,39.9622601,-83.0007065
Madison County,177916,London,39.8864493,-83.448253
Union County,178021,Marysville,40.2364486,-83.3671432
Delaware County,178339,Delaware,40.2986724,-83.067965
Licking County,178389,Newark,40.0581205,-82.4012643
Fairfield County,178391,Lancaster,39.7136754,-82.5993294
Pickaway County,178392,Circleville,39.600618,-82.9460133
Clark County,180912,Springfield,39.9234046,-83.810138
Champaign County,180915,Urbana,40.1083912,-83.7524298
Logan County,184059,Bellefontaine,40.3611643,-83.7596557
Marion County,185761,Marion,40.5886259,-83.1287349
Morrow County,185762,Mount Gilead,40.5492265,-82.8274015
Muskingum County,241688,Zanesville,39.9401426,-82.005019
Hocking County,270614,Logan,39.5398708,-82.4084891
Ross County,270615,Chillicothe,39.3331197,-82.9824019
Fayette County,270616,Washington Court House,39.5364511,-83.4390843
Lorain County,350377,Elyria,41.3673191,-82.1073583
Erie County,350378,Sandusky,41.4561002,-82.7115813
Lake County,350379,Painesville,41.7244885,-81.245657
Ottawa County,350380,Port Clinton,41.511995400000004,-82.9376919
Cuyahoga County,350381,Cleveland,41.4996574,-81.6936772
Ashtabula County,350382,Jefferson,41.7383614,-80.7694443
Lucas County,350384,Toledo,41.6529143,-83.5378173
Ashland County,911247,Ashland,40.8686147,-82.3175942
Harrison County,911248,Cadiz,40.2728452,-80.9967628
Auglaize County,911251,Wapakoneta,40.5678265,-84.1935594
Hancock County,911252,Findlay,41.0413873,-83.6503982
Columbiana County,911253,Lisbon,40.7720044,-80.7681336
Huron County,911254,Norwalk,41.2424219,-82.6155745
Geauga County,911256,Chardon,41.5824944,-81.2034066
Henry County,911257,Napoleon,41.3922726,-84.1252243
Preble County,911259,Eaton,39.7439398,-84.6364891
Allen County,911260,Lima,40.7399785,-84.105006
Jefferson County,911261,Steubenville,40.3600714,-80.6151034
Crawford County,911262,Bucyrus,40.8083909,-82.9754649
Fulton County,911263,Wauseon,41.546069,-84.1362047
Belmont County,911264,Saint Clairsville,40.0806266,-80.9000916
Defiance County,911265,Defiance,41.2844933,-84.3557802
Jackson County,911266,Jackson,39.0520169,-82.6365537
Gallia County,911268,Gallipolis,38.809803,-82.2023691
Athens County,911269,Athens,39.3289242,-82.1012479
Guernsey County,911270,Cambridge,40.031183,-81.5884561
Lawrence County,911271,Ironton,38.5367471,-82.6829406
Williams County,911287,Bryan,41.4747732,-84.5524508
Portage County,911288,Ravenna,41.157557,-81.242047
Washington County,911289,Washington,39.4782641,-81.5488945
Scioto County,911291,Portsmouth,38.7345374,-82.9962742
Shelby County,911292,Sidney,40.284241,-84.1555267
Medina County,911294,Medina,41.1383878,-81.8637474
Van Wert County,911295,Van Wert,40.8696461,-84.5829261
Wyandot County,911296,Upper Sandusky,40.8272785,-83.2813089
Stark County,911298,Canton,40.7985464,-81.3749508
Trumbull County,911299,Warren,41.2367955,-80.8190423
Noble County,911300,Caldwell,39.7478508,-81.5165127
Putnam County,911301,Ottawa,41.0192185,-84.0471666
Sandusky County,911303,Fremont,41.3473413,-83.1134972
Wayne County,911304,Wooster,40.7980976,-81.9397733
Tuscarawas County,911305,New Philadelphia,40.4897871,-81.4456706
Miami County,911306,Troy,40.0394982,-84.2032767
Richland County,911309,Mansfield,40.75839,-82.5154471
Summit County,911310,Akron,41.083064,-81.518485
Mahoning County,911312,Youngstown,41.1035786,-80.6520161
Wood County,911313,Bowling Green,41.3747744,-83.6513229
Paulding County,911314,Paulding,41.1381051,-84.5805082
