county1,county2
Delaware County,Mayes County
Ottawa County,Craig County
Craig County,Mayes County
Kay County,Noble County
Osage County,Pawnee County
Osage County,Tulsa County
Sequoyah County,Muskogee County
Atoka County,Bryan County
Atoka County,Pittsburg County
Atoka County,Pushmataha County
Beckham County,Washita County
Caddo County,Canadian County
Caddo County,Comanche County
Caddo County,Custer County
Caddo County,Grady County
Canadian County,Oklahoma County
Carter County,Love County
Carter County,Murray County
Choctaw County,Pushmataha County
Cleveland County,McClain County
Cleveland County,Oklahoma County
Comanche County,Cotton County
Creek County,Lincoln County
Creek County,Tulsa County
Custer County,Washita County
Garvin County,McClain County
Garvin County,Murray County
Grady County,McClain County
Lincoln County,Oklahoma County
Logan County,Oklahoma County
Logan County,Payne County
Mayes County,Rogers County
McIntosh County,Muskogee County
McIntosh County,Okmulgee County
McIntosh County,Pittsburg County
Muskogee County,Wagoner County
Noble County,Pawnee County
Noble County,Payne County
Okfuskee County,Okmulgee County
Okfuskee County,Seminole County
Oklahoma County,Pottawatomie County
Pawnee County,Payne County
Pottawatomie County,Seminole County
Rogers County,Tulsa County
Rogers County,Wagoner County
Tulsa County,Wagoner County
