county,id,city_name,lat,lon
LeFlore County,373441,Poteau,35.0568053,-94.6199966
Delaware County,1818409,Jay,36.4235396,-94.7976684
Ottawa County,1818424,Miami,36.8746177,-94.877374
Craig County,1820057,Vinita,36.6408372,-95.156363
Kay County,1820060,Newkirk,36.8823649,-97.0536785
Osage County,1820062,Pawhuska 𐓄𐓘𐓢𐓶𐓮𐓤𐓘,36.6633403,-96.3401208
Sequoyah County,1820237,Sallisaw,35.4587305,-94.7879436
Atoka County,1822190,Atoka,34.383855,-96.1289831
Beckham County,1822191,Sayre,35.2979543,-99.6399648
Bryan County,1822193,Durant,33.9919761,-96.3776762
Caddo County,1822194,Anadarko,35.0725323,-98.243981
Canadian County,1822195,El Reno,35.532198,-97.9550578
Carter County,1822196,Ardmore,34.1729273,-97.1309119
Choctaw County,1822198,Hugo,34.0106208,-95.513122
Cleveland County,1822199,Norman,35.2225717,-97.4394816
Comanche County,1822201,Lawton,34.6086854,-98.3903305
Cotton County,1822202,Walters,34.3598075,-98.3078258
Creek County,1822203,Sapulpa,36.0005035,-96.1049612
Custer County,1822204,Arapaho,35.5778272,-98.9645311
Garvin County,1822208,Pauls Valley,34.7392055,-97.218509
Grady County,1822209,Chickasha,35.0512159,-97.9370036
Lincoln County,1822220,Chandler,35.7032002,-96.880011
Logan County,1822221,Guthrie,35.8789231,-97.4252772
Love County,1822222,Marietta,33.937045,-97.1166788
Mayes County,1822225,Pryor Creek,36.3084275,-95.3169136
McClain County,1822226,Purcell,35.0154723,-97.3650998
McIntosh County,1822227,Eufaula,35.2873764,-95.5825302
Murray County,1822228,Sulphur,34.5096839,-96.974653
Muskogee County,1822229,Muskogee,35.7478769,-95.3696909
Noble County,1822230,Perry,36.2907352,-97.288396
Okfuskee County,1822231,Okemah,35.4325854,-96.3050064
Oklahoma County,1822232,Oklahoma City,35.4729886,-97.5170536
Okmulgee County,1822233,Okmulgee,35.6230879,-95.9719711
Pawnee County,1822234,Pawnee,36.3384025,-96.8031766
Payne County,1822235,Stillwater,36.1156306,-97.0585717
Pittsburg County,1822236,McAlester,34.9334981,-95.7697934
Pontotoc County,1822237,Ada,34.7743383,-96.6783651
Pottawatomie County,1822238,Shawnee,35.3272928,-96.9253004
Pushmataha County,1822239,Antlers,34.2323263,-95.6204938
Rogers County,1822241,Claremore,36.3126005,-95.6160686
Seminole County,1822242,Wewoka,35.1511643,-96.4935513
Tulsa County,1822245,Tulsa,36.1563122,-95.9927516
Wagoner County,1822246,Wagoner,35.9593531,-95.3756535
Washita County,1822247,New Cordell,35.2953232,-98.9885471
