county,id,city_name,lat,lon
Sherman County,1150095,Moro,45.484036,-120.731168
Gilliam County,1150096,Condon,45.2341998,-120.184732
Malheur County,1798645,Vale,43.982063,-117.238456
Baker County,1798647,Baker City,44.7748748,-117.834384
Clackamas County,1837105,Oregon City,45.3573429,-122.606758
Douglas County,1837112,Roseburg,43.216505,-123.3417381
Hood River County,1837115,Hood River,45.7087902,-121.512372
Jackson County,1837116,Medford,42.3264181,-122.8718605
Josephine County,1837118,Grants Pass,42.4393707,-123.3272489
Lane County,1837121,Eugene,44.0505054,-123.0950506
Linn County,1837123,Albany,44.6365071,-123.1059324
Marion County,1837124,Salem,44.9391565,-123.033121
Morrow County,1837125,Heppner,45.3560636,-119.5528279
Multnomah County,1837126,Portland,45.5202471,-122.674194
Umatilla County,1837129,Pendleton,45.672075,-118.7885967
Union County,1837130,La Grande,45.3246068,-118.0878695
Wasco County,1837132,The Dalles,45.6015056,-121.1841587
Washington County,1837133,Hillsboro,45.5228939,-122.989827
