county1,county2
Centre County,Clinton County
Centre County,Clearfield County
Centre County,Mifflin County
Clinton County,Union County
Clinton County,Lycoming County
Union County,Snyder County
Union County,Northumberland County
Clearfield County,Jefferson County
Blair County,Cambria County
Blair County,Bedford County
Huntingdon County,Fulton County
Huntingdon County,Franklin County
Mifflin County,Juniata County
Cambria County,Somerset County
Lycoming County,Tioga County
Lycoming County,Northumberland County
Juniata County,Perry County
Venango County,Mercer County
Venango County,Clarion County
Venango County,Butler County
Crawford County,Erie County
Crawford County,Mercer County
Erie County,Chautauqua County
Mercer County,Lawrence County
Jefferson County,Clarion County
Clarion County,Butler County
Lawrence County,Beaver County
Lawrence County,Butler County
Washington County,Westmoreland County
Washington County,Fayette County
Washington County,Greene County
Washington County,Allegheny County
Westmoreland County,Fayette County
Westmoreland County,Somerset County
Westmoreland County,Allegheny County
Somerset County,Bedford County
Bedford County,Fulton County
Franklin County,Cumberland County
Perry County,Dauphin County
Cumberland County,York County
Cumberland County,Dauphin County
York County,Dauphin County
York County,Lancaster County
Northumberland County,Montour County
Montour County,Columbia County
Dauphin County,Lebanon County
Dauphin County,Lancaster County
Lebanon County,Lancaster County
Lebanon County,Schuylkill County
Lebanon County,Berks County
Lancaster County,Berks County
Columbia County,Luzerne County
Schuylkill County,Luzerne County
Luzerne County,Lackawanna County
Luzerne County,Carbon County
Susquehanna County,Lackawanna County
Lackawanna County,Wayne County
Wayne County,Pike County
Wayne County,Monroe County
Carbon County,Monroe County
Carbon County,Northampton County
Carbon County,Lehigh County
Monroe County,Northampton County
Northampton County,Lehigh County
Chester County,Berks County
Chester County,Montgomery County
Berks County,Lehigh County
Berks County,Montgomery County
Lehigh County,Bucks County
Bucks County,Montgomery County
Bucks County,Philadelphia County
Montgomery County,Philadelphia County
Montgomery County,Delaware County
Philadelphia County,Delaware County
Allegheny County,Beaver County
Allegheny County,Butler County
Armstrong County,Butler County
Beaver County,Butler County
