county,id,city_name,lat,lon
Centre County,416637,Bellefonte,40.9134862,-77.7737471
Clinton County,416639,Lock Haven,41.1369077,-77.4471641
Union County,416655,Lewisburg,40.9645337,-76.8847639
Clearfield County,416663,Clearfield,41.0272796,-78.4391876
Blair County,416664,Hollidaysburg,40.430774,-78.3900826
Huntingdon County,416665,Huntingdon,40.4847959,-78.0102813
Mifflin County,416666,Lewistown,40.5992395,-77.571382
Cambria County,416671,Ebensburg,40.4852783,-78.7248434
Snyder County,416674,Middleburg,40.7859166,-77.0472028
Lycoming County,416677,Williamsport,41.2411556,-77.0011096
Juniata County,416678,Mifflintown,40.5697996,-77.3969339
Tioga County,416680,Wellsboro,41.7486838,-77.3005305
McKean County,416681,Smethport,41.8091097,-78.446264
Bradford County,416682,Towanda,41.7673567,-76.44291
Venango County,416691,Franklin,41.397836,-79.831444
Crawford County,416692,Meadville,41.641445,-80.151449
Erie County,416693,Erie,42.1294712,-80.0852695
Mercer County,416694,Mercer,41.2270025,-80.2397852
Jefferson County,416696,Brookville,41.1604348,-79.0794702
Clarion County,416697,Clarion,41.2148975,-79.3857047
Indiana County,416698,Indiana,40.622825,-79.1533097
Lawrence County,416700,New Castle,40.9999202,-80.3471856
Washington County,417151,Washington,40.17396,-80.2461714
Westmoreland County,417152,Greensburg,40.3014581,-79.5389289
Fayette County,417153,Uniontown,39.900937,-79.725931
Greene County,417154,Waynesburg,39.8964641,-80.1792299
Somerset County,417155,Somerset,40.008411,-79.0780831
Bedford County,417156,Bedford,40.0186921,-78.5039069
Fulton County,417157,McConnellsburg,39.932589,-77.9988906
Franklin County,417425,Chambersburg,39.9375112,-77.6612586
Perry County,417432,New Bloomfield,40.419757,-77.1871464
Cumberland County,417440,Carlisle,40.201499,-77.1890783
Adams County,417441,Gettysburg,39.8308973,-77.231012
York County,417442,York,39.962493,-76.7276989
Northumberland County,417443,Sunbury,40.8619754,-76.7936252
Montour County,417445,Danville,40.9664806,-76.6131474
Dauphin County,417730,Harrisburg,40.2663107,-76.8861122
Lebanon County,417767,Lebanon,40.3429683,-76.4233816
Lancaster County,417768,Lancaster,40.0379958,-76.3056707
Columbia County,417770,Bloomsburg,41.0044958,-76.4537302
Schuylkill County,417771,Pottsville,40.6851324,-76.1953701
Luzerne County,417772,Wilkes-Barre,41.2464824,-75.8817316
Susquehanna County,417774,Montrose,41.8339654,-75.8771388
Lackawanna County,417780,Scranton,41.4086874,-75.6621294
Wayne County,417782,Honesdale,41.5771005,-75.2580212
Pike County,417783,Milford,41.322316,-74.8023882
Carbon County,417786,Jim Thorpe,40.8636074,-75.7386948
Monroe County,417787,Stroudsburg,40.9864261,-75.1946649
Northampton County,417788,Easton,40.6916081,-75.2099866
Chester County,417832,West Chester,39.9597213,-75.6059638
Berks County,417841,Reading,40.335345,-75.9279495
Lehigh County,417842,Allentown,40.6022059,-75.4712794
Bucks County,417843,Doylestown,40.3100446,-75.1304588
Montgomery County,417844,Norristown,40.1148787,-75.3433705
Philadelphia County,417845,Philadelphia,39.9527237,-75.1635262
Delaware County,417846,Media,39.9167783,-75.387693
Chautauqua County,1838089,Mayville,42.253947,-79.504491
Allegheny County,2563472,Pittsburgh,40.4416941,-79.9900861
Armstrong County,2563473,Kittanning,40.8164531,-79.5219893
Beaver County,2563474,Beaver,40.6953896,-80.3047887
Butler County,2563475,Butler,40.86108,-79.895197
