county1,county2
Greenville County,Spartanburg County
Greenville County,Anderson County
Spartanburg County,Laurens County
Spartanburg County,Cherokee County
Laurens County,Newberry County
Anderson County,Oconee County
Berkeley County,Charleston County
Berkeley County,Dorchester County
Colleton County,Dorchester County
Colleton County,Hampton County
Dorchester County,Orangeburg County
Hampton County,Jasper County
Orangeburg County,Calhoun County
Orangeburg County,Clarendon County
Aiken County,Lexington County
Chester County,Fairfield County
Chester County,York County
Clarendon County,Sumter County
Darlington County,Florence County
Darlington County,Lee County
Dillon County,Florence County
Dillon County,Marlboro County
Fairfield County,Richland County
Florence County,Marlboro County
Florence County,Sumter County
Kershaw County,Lee County
Kershaw County,Richland County
Lexington County,Newberry County
Lexington County,Richland County
