county,id,city_name,lat,lon
Pickens County,1356994,Pickens,34.8834489,-82.7073573
Greenville County,1357004,Greenville,34.851354,-82.3984882
Spartanburg County,1357015,Spartanburg,34.9498007,-81.9320157
Laurens County,1357020,Laurens,34.4989248,-82.0156362
Anderson County,1357072,Anderson,34.5068601,-82.6506264
Oconee County,1357530,Walhalla,34.7648176,-83.0640417
Berkeley County,1856999,Moncks Corner,33.1960027,-80.0131374
Charleston County,1857000,Charleston,32.7884363,-79.9399309
Colleton County,1857001,Walterboro,32.9021377,-80.6672631
Dorchester County,1857002,Saint George,33.1859958,-80.5756534
Hampton County,1857003,Hampton,32.8701504,-81.1139447
Jasper County,1857004,Ridgeland,32.4807435,-80.980386
Orangeburg County,1857005,Orangeburg,33.4918203,-80.8556476
Aiken County,2532496,Aiken,33.5616173,-81.7224579
Calhoun County,2532498,Saint Matthews,33.664876,-80.7778681
Cherokee County,2532499,Gaffney,35.0717945,-81.6498195
Chester County,2532500,Chester,34.7048613,-81.2142561
Clarendon County,2532502,Manning,33.6952318,-80.2107811
Darlington County,2532503,Darlington,34.3028537,-79.8710831
Dillon County,2532504,Dillon,34.4165391,-79.3713948
Fairfield County,2532506,Winnsboro,34.3807012,-81.0864776
Florence County,2532507,Florence,34.1984435,-79.7671658
Horry County,2532510,Conway,33.8360035,-79.0478143
Kershaw County,2532511,Camden,34.2464886,-80.6070391
Lee County,2532513,Bishopville,34.2182107,-80.2484056
Lexington County,2532514,Lexington,33.8986841,-81.275054
Marlboro County,2532516,Bennettsville,34.6173516,-79.684768
Newberry County,2532518,Newberry,34.2753247,-81.6188633
Richland County,2532519,Columbia,34.0003117,-81.0331309
Sumter County,2532521,Sumter,33.9204354,-80.3414693
York County,2532524,York,34.9940654,-81.2421403
