county1,county2
Union County,Lincoln County
Aurora County,Brule County
Aurora County,Davison County
Brookings County,Deuel County
Brookings County,Moody County
Brule County,Lyman County
Codington County,Grant County
Codington County,Hamlin County
Davison County,Hanson County
Deuel County,Hamlin County
Grant County,Roberts County
Hanson County,McCook County
Jackson County,Jones County
Jackson County,Pennington County
Jones County,Lyman County
Lawrence County,Meade County
Lincoln County,Minnehaha County
McCook County,Minnehaha County
Meade County,Pennington County
Minnehaha County,Moody County
