county,id,city_name,lat,lon
Union County,1425453,Elk Point,42.6860746,-96.6827096
Aurora County,1739789,Plankinton,43.714461,-98.485005
Brookings County,1739793,Brookings,44.311461,-96.79844
Brule County,1739795,Chamberlain,43.810817,-99.330178
Codington County,1739801,Watertown,44.899211,-97.115289
Davison County,1739804,Mitchell,43.70953,-98.025379
Deuel County,1739806,Clear Lake,44.7563908,-96.6848271
Grant County,1739815,Milbank,45.219131,-96.635617
Hamlin County,1739817,Hayti,44.657187,-97.205073
Hanson County,1739819,Alexandria,43.653592,-97.782848
Jackson County,1739824,Kadoka,43.833882,-101.509866
Jones County,1739826,Murdo,43.888322,-100.712914
Lawrence County,1739829,Deadwood,44.3743812,-103.7290723
Lincoln County,1739831,Canton,43.3009156,-96.5926411
Lyman County,1739832,Kennebec,43.903602,-99.861783
McCook County,1739834,Salem,43.724146,-97.388953
Meade County,1739837,Sturgis,44.414477,-103.509139
Minnehaha County,1739840,Sioux Falls,43.5476008,-96.7293629
Moody County,1739841,Flandreau,44.049416,-96.595324
Pennington County,1739842,Rapid City,44.0806041,-103.228023
Roberts County,1739848,Sisseton,45.664557,-97.049791
