county1,county2
Maury County,Williamson County
Maury County,Marshall County
Dyer County,Obion County
Haywood County,Fayette County
Haywood County,Madison County
Shelby County,Fayette County
Benton County,Decatur County
Benton County,Humphreys County
Campbell County,Anderson County
Carroll County,Decatur County
Carroll County,Henderson County
Carter County,Unicoi County
Carter County,Washington County
Cheatham County,Davidson County
Cheatham County,Robertson County
Cheatham County,Williamson County
Davidson County,Sumner County
Davidson County,Williamson County
Davidson County,Rutherford County
Davidson County,Wilson County
Decatur County,Henderson County
Dickson County,Hickman County
Dickson County,Williamson County
Henderson County,Madison County
Hickman County,Humphreys County
Hickman County,Williamson County
Montgomery County,Robertson County
Obion County,Weakley County
Robertson County,Sumner County
Sullivan County,Washington County
Williamson County,Rutherford County
Anderson County,Knox County
Bedford County,Coffee County
Bedford County,Rutherford County
Blount County,Knox County
Bradley County,Hamilton County
Bradley County,McMinn County
Cocke County,Jefferson County
Coffee County,Grundy County
Cumberland County,Putnam County
Cumberland County,Roane County
Giles County,Marshall County
Greene County,Hamblen County
Greene County,Washington County
Grundy County,Marion County
Hamblen County,Jefferson County
Hamilton County,Marion County
Hamilton County,Sequatchie County
Jefferson County,Sevier County
Knox County,Loudon County
Knox County,Sevier County
Loudon County,McMinn County
Loudon County,Monroe County
Loudon County,Roane County
McMinn County,Monroe County
Putnam County,Smith County
Putnam County,White County
Rutherford County,Wilson County
Smith County,Wilson County
