county,id,city_name,lat,lon
Maury County,1364501,Columbia,35.6148165,-87.0338464
Dyer County,1828575,Dyersburg,36.0346393,-89.3857496
Haywood County,1828576,Brownsville,35.5939671,-89.262291
Shelby County,1829139,Memphis,35.1460249,-90.0517638
Fayette County,1829178,Somerville,35.2436969,-89.3500714
Benton County,1847610,Camden,36.0589486,-88.0978151
Campbell County,1847611,Jacksboro,36.3300793,-84.1838156
Carroll County,1847612,Huntingdon,36.0006178,-88.4281063
Carter County,1847613,Elizabethton,36.3487756,-82.2107617
Cheatham County,1847614,Ashland City,36.2742207,-87.0641699
Davidson County,1847619,Nashville,36.1622767,-86.7742984
Decatur County,1847620,Decaturville,35.5842372,-88.119479
Dickson County,1847621,Charlotte,36.1772797,-87.3397319
Henderson County,1847627,Lexington,35.650903,-88.3933796
Hickman County,1847629,Centerville,35.7789565,-87.4669587
Humphreys County,1847631,Waverly,36.0830353,-87.7945789
Madison County,1847635,Jackson,35.6144446,-88.8177418
McNairy County,1847636,Selmer,35.1700744,-88.5923645
Montgomery County,1847637,Clarksville,36.5277607,-87.3588703
Obion County,1847638,Union City,36.4242303,-89.0570096
Robertson County,1847641,Springfield,36.5092119,-86.8849984
Sullivan County,1847644,Blountville,36.5331586,-82.326806
Sumner County,1847645,Gallatin,36.3883031,-86.4475898
Weakley County,1847646,Dresden,36.2914512,-88.7081123
Williamson County,1847647,Franklin,35.925206,-86.8689419
Anderson County,1848164,Clinton,36.1034126,-84.1318632
Bedford County,1848165,Shelbyville,35.483406,-86.4602717
Blount County,1848167,Maryville,35.7564719,-83.9704593
Bradley County,1848168,Cleveland,35.1595182,-84.8766115
Cocke County,1848170,Newport,35.9670412,-83.1876578
Coffee County,1848171,Manchester,35.4832001,-86.0887296
Cumberland County,1848172,Crossville,35.949684,-85.0274835
Giles County,1848176,Pulaski,35.1998023,-87.0308412
Greene County,1848178,Greeneville,36.1631575,-82.8309861
Grundy County,1848179,Altamont,35.4295186,-85.7230316
Hamblen County,1848180,Morristown,36.2139814,-83.2948923
Hamilton County,1848181,Chattanooga,35.0457219,-85.3094883
Jefferson County,1848183,Dandridge,36.0153693,-83.4148895
Knox County,1848184,Knoxville,35.9603948,-83.9210261
Loudon County,1848187,Loudon,35.7410117,-84.336174
Marion County,1848188,Jasper,35.0742448,-85.6260789
Marshall County,1848189,Lewisburg,35.4492404,-86.7888887
McMinn County,1848190,Athens,35.4428864,-84.5930113
Monroe County,1848191,Madisonville,35.5197984,-84.3635338
Putnam County,1848196,Cookeville,36.1623886,-85.4997057
Roane County,1848198,Kingston,35.8713147,-84.5160916
Rutherford County,1848199,Murfreesboro,35.8460396,-86.3921096
Sequatchie County,1848200,Dunlap,35.3714575,-85.3905209
Sevier County,1848201,Sevierville,35.8681455,-83.561835
Smith County,1848202,Carthage,36.2522766,-85.951654
Unicoi County,1848204,Erwin,36.1451082,-82.4168055
Washington County,1848223,Jonesborough,36.2944928,-82.4734089
White County,1848225,Sparta,35.9258921,-85.4641342
Wilson County,1848226,Lebanon,36.2079779,-86.2910945
