county,id,city_name,lat,lon
Hays County,91858,San Marcos,29.8826436,-97.9405828
Comal County,91911,New Braunfels,29.7028266,-98.1257348
Travis County,91939,Austin,30.2711286,-97.7436995
Caldwell County,92017,Lockhart,29.8832105,-97.6736292
Guadalupe County,92024,Seguin,29.5688411,-97.9647269
Bexar County,92026,San Antonio,29.4246002,-98.4951405
Kendall County,92032,Boerne,29.7946641,-98.7319703
Montgomery County,1560394,Conroe,30.3118769,-95.4560512
Harris County,1560395,Houston,29.7589382,-95.3676974
Liberty County,1560411,Liberty,30.0609147,-94.7971809
Chambers County,1560412,Anahuac,29.7713308,-94.6785092
Fort Bend County,1560525,Richmond,29.5821811,-95.7607832
Galveston County,1560526,Galveston,29.3056996,-94.7933252
Brazoria County,1560527,Angleton,29.16941,-95.4318847
Waller County,1561035,Hempstead,30.0929491,-96.0806548
Grayson County,1634544,Sherman,33.6398609,-96.6089146
Medina County,1651194,Hondo,29.3474121,-99.1412026
Atascosa County,1657497,Jourdanton,28.918029400000002,-98.5464069
Frio County,1657498,Pearsall,28.8921939,-99.095033
Oldham County,1809529,Vega,35.24603,-102.4252734
Potter County,1809534,Amarillo,35.20729,-101.8371192
Carson County,1809554,Panhandle,35.3454847,-101.3804082
Gray County,1809555,Pampa,35.536297,-100.9601552
Wheeler County,1809556,Wheeler,35.4425853,-100.2728514
Deaf Smith County,1809595,Hereford,34.8245521,-102.398778
Randall County,1810715,Canyon,34.9799429,-101.919197
Donley County,1810723,Clarendon,34.9359346,-100.8905829
Swisher County,1810731,Tulia,34.5390629,-101.767781
Hale County,1810778,Plainview,34.1847936,-101.706841
Lubbock County,1810969,Lubbock,33.5855677,-101.8470215
Lynn County,1811566,Tahoka,33.1647623,-101.797109
Scurry County,1812316,Snyder,32.7180803,-100.918231
Martin County,1812344,Stanton,32.1292891,-101.788464
Howard County,1812349,Big Spring,32.250398,-101.4787356
Mitchell County,1812357,Colorado City,32.3930337,-100.86351
Nolan County,1812359,Sweetwater,32.4709519,-100.405938
Hudspeth County,1812578,Sierra Blanca,31.1778312,-105.357627
El Paso County,1812640,El Paso,31.7601164,-106.4870404
Culberson County,1812642,Van Horn,31.0429718,-104.831628
Jeff Davis County,1812647,Fort Davis,30.5891645,-103.894959
Reeves County,1812659,Pecos,31.4254143,-103.4952894
Ward County,1814605,Monahans,31.5890519,-102.8861902
Pecos County,1814607,Fort Stockton,30.891901,-102.883662
Crane County,1814616,Crane,31.39572,-102.3521214
Crockett County,1814671,Ozona,30.7098786,-101.2036387
Tom Green County,1814811,San Angelo,31.4649685,-100.4405094
Sutton County,1814813,Sonora,30.5667344,-100.642859
Wilbarger County,1827019,Vernon,34.1513105,-99.2860857
Kimble County,1827085,Junction,30.4893555,-99.7720109
Taylor County,1827096,Abilene,32.44645,-99.7475905
Baylor County,1827102,Seymour,33.5942438,-99.2603073
Wichita County,1827111,Wichita Falls,33.9004572,-98.5020777
Eastland County,1827116,Eastland,32.4006299,-98.8194482
Callahan County,1827117,Baird,32.3946111,-99.3963478
Gillespie County,1827125,Fredericksburg,30.2752011,-98.8719843
Kerr County,1827126,Kerrville,30.048469,-99.1399464
La Salle County,1827176,Cotulla,28.4358692,-99.2350791
Webb County,1827177,Laredo,27.5075005,-99.5069922
Bowie County,1827725,New Boston,33.4598415,-94.4154787
Hidalgo County,1828367,Edinburg,26.3013982,-98.1624501
Cameron County,1828370,Brownsville,25.9024289,-97.4981698
Willacy County,1828376,Raymondville,26.4814565,-97.783051
Kenedy County,1828381,Sarita,27.2226579,-97.7924549
Brooks County,1828383,Falfurrias,27.2247328,-98.1462397
Jim Wells County,1828392,Alice,27.7522487,-98.0697249
Kleberg County,1828394,Kingsville,27.5158689,-97.856109
Nueces County,1828400,Corpus Christi,27.7635302,-97.4033191
San Patricio County,1828404,Sinton,28.034685,-97.5085762
Bee County,1828415,Beeville,28.4008319,-97.7483312
Live Oak County,1828421,George West,28.3318242,-98.1171612
Victoria County,1828436,Victoria,28.7997547,-97.0064246
Gonzales County,1828445,Gonzales,29.5068721,-97.4496293
Clay County,1836929,Henrietta,33.8166258,-98.194682
Palo Pinto County,1836932,Palo Pinto,32.7668959,-98.2993631
Erath County,1836934,Stephenville,32.2191836,-98.2130634
Montague County,1836981,Montague,33.6648852,-97.7204561
Wise County,1836982,Decatur,33.2342834,-97.5861393
Parker County,1836989,Weatherford,32.7589648,-97.7970748
Hood County,1836990,Granbury,32.4426759,-97.7870525
Coryell County,1836994,Gatesville,31.4351645,-97.743911
Bell County,1836995,Belton,31.0560132,-97.464453
Williamson County,1836997,Georgetown,30.6370152,-97.6775634
Cooke County,1837616,Gainesville,33.6258504,-97.1332963
Denton County,1837621,Denton,33.2150386,-97.1330516
Tarrant County,1837628,Fort Worth,32.753177,-97.3327459
Johnson County,1837632,Cleburne,32.3474463,-97.3865494
Hill County,1837633,Hillsboro,32.0108506,-97.1303744
McLennan County,1837637,Waco,31.5491899,-97.1474628
Falls County,1837639,Marlin,31.308005,-96.8908895
Bastrop County,1837663,Bastrop,30.1104947,-97.3152701
Fayette County,1837665,La Grange,29.9080038,-96.8730449
Jackson County,1837671,Edna,28.9772626,-96.6462526
Collin County,1837688,McKinney,33.1976496,-96.6154471
Dallas County,1837698,Dallas,32.7762719,-96.7968559
Rockwall County,1837699,Rockwall,32.9312336,-96.4597089
Ellis County,1837703,Waxahachie,32.3944908,-96.8439365
Navarro County,1837710,Corsicana,32.091299,-96.4646821
Brazos County,1837743,Bryan,30.6743643,-96.3699632
Washington County,1837751,Brenham,30.1668828,-96.3977442
Austin County,1837755,Bellville,29.9502253,-96.2571858
Colorado County,1837771,Columbus,29.7066181,-96.539699
Wharton County,1837773,Wharton,29.3124797,-96.0982384
Hunt County,1839021,Greenville,33.1384488,-96.1108066
Kaufman County,1839031,Kaufman,32.5867797,-96.3086768
Freestone County,1839052,Fairfield,31.7244035,-96.1648789
Leon County,1839082,Centerville,31.2578221,-95.9785301
Madison County,1839085,Madisonville,30.9498688,-95.9127773
Grimes County,1839087,Anderson,30.487147,-95.9868986
Hopkins County,1839264,Sulphur Springs,33.1384886,-95.6010143
Van Zandt County,1839271,Canton,32.555664,-95.8640507
Franklin County,1839286,Mount Vernon,33.1890841,-95.2214564
Titus County,1839294,Mount Pleasant,33.1570582,-94.9694007
Morris County,1839302,Daingerfield,33.0318031,-94.7219895
Harrison County,1839478,Marshall,32.5447756,-94.3661004
Gregg County,1839481,Longview,32.5007031,-94.74049
Smith County,1839521,Tyler,32.3512601,-95.3010624
Nacogdoches County,1840913,Nacogdoches,31.6037322,-94.6559702
Angelina County,1840971,Lufkin,31.3386242,-94.7288558
Walker County,1840983,Huntsville,30.7235263,-95.5507771
Polk County,1841042,Livingston,30.711029,-94.9329898
San Jacinto County,1841056,Coldspring,30.592421,-95.1293818
Orange County,1841069,Orange,30.0929879,-93.7365549
Jefferson County,1841074,Beaumont,30.0860459,-94.1018461
Hardin County,1841176,Kountze,30.3715975,-94.3124116
Ector County,2528879,Odessa,31.8457149,-102.367687
Midland County,2528880,Midland,31.9973662,-102.077948
