county,id,city_name,lat,lon
Grand County,445606,Moab,38.5738096,-109.546214
Summit County,1416621,Coalville,40.9177251,-111.3993634
Box Elder County,1742078,Brigham City,41.5110434,-112.0154991
Beaver County,1744354,Beaver,38.2765305,-112.640278
Davis County,1744356,Farmington,40.9804423,-111.8874688
Emery County,1744358,Castle Dale,39.212192,-111.019613
Iron County,1744360,Parowan,37.8421975,-112.8279996
Juab County,1744361,Nephi,39.7102336,-111.836321
Millard County,1744363,Fillmore,38.9688118,-112.323587
Morgan County,1744364,Morgan,41.0360566,-111.6774417
Salt Lake County,1744366,Salt Lake City,40.7596198,-111.886797
Sevier County,1744368,Richfield,38.7724674,-112.084094
Tooele County,1744369,Tooele,40.5307776,-112.29828
Utah County,1744370,Provo,40.2337289,-111.6587085
Wasatch County,1744371,Heber City,40.506463,-111.4132963
Washington County,1744372,St. George,37.104153,-113.584131
Weber County,1744373,Ogden,41.2230048,-111.9738429
