county1,county2
Suffolk,Chesapeake
Suffolk,Portsmouth
Suffolk,Southampton County
Suffolk,Newport News
Roanoke,Roanoke County
Petersburg,Chesterfield County
Petersburg,Dinwiddie County
Petersburg,Prince George County
Colonial Heights,Chesterfield County
Alexandria,Fairfax County
Alexandria,Arlington County
Waynesboro,Augusta County
Lynchburg,Amherst County
Lynchburg,Campbell County
Virginia Beach,Chesapeake
Virginia Beach,Norfolk
Chesapeake,Norfolk
Chesapeake,Portsmouth
Norfolk,Portsmouth
Norfolk,Hampton
Harrisonburg,Rockingham County
Emporia,Greensville County
Winchester,Frederick County
Loudoun County,Fairfax County
Fairfax County,Arlington County
Fairfax County,Prince William County
Prince William County,Stafford County
Prince William County,Fauquier County
Stafford County,Fredericksburg
Fauquier County,Warren County
Frederick County,Warren County
Fredericksburg,Spotsylvania County
Louisa County,Fluvanna County
Louisa County,Goochland County
Spotsylvania County,Caroline County
Warren County,Shenandoah County
Charlottesville,Albemarle County
Alleghany County,Rockbridge County
Alleghany County,Covington
Bland County,Wythe County
Botetourt County,Roanoke County
Botetourt County,Rockbridge County
Campbell County,Pittsylvania County
Carroll County,Wythe County
Montgomery County,Pulaski County
Montgomery County,Roanoke County
Pittsylvania County,Danville
Pulaski County,Wythe County
Roanoke County,Salem
Rockbridge County,Augusta County
Smyth County,Washington County
Smyth County,Wythe County
Washington County,Bristol
Wise County,Norton
Albemarle County,Augusta County
Albemarle County,Fluvanna County
Albemarle County,Nelson County
Augusta County,Nelson County
Augusta County,Rockingham County
Augusta County,Staunton
Brunswick County,Dinwiddie County
Brunswick County,Mecklenburg County
Caroline County,Hanover County
Chesterfield County,Powhatan County
Chesterfield County,Prince George County
Chesterfield County,Henrico County
Chesterfield County,Richmond
Chesterfield County,Hopewell
Goochland County,Powhatan County
Goochland County,Henrico County
Greensville County,Sussex County
Hanover County,Henrico County
James City County,New Kent County
James City County,York County
New Kent County,Henrico County
Prince George County,Sussex County
Prince George County,Hopewell
Rockingham County,Shenandoah County
Southampton County,Franklin
Henrico County,Richmond
Hampton,Newport News
Newport News,York County
