county,id,city_name,lat,lon
Franklin County,1150531,Pasco,46.2306739,-119.0921
Walla Walla County,1150532,Walla Walla,46.0667277,-118.339345
Spokane County,1150576,Spokane,47.6571934,-117.42351
Benton County,1152564,Prosser,46.2067583,-119.76916
Lincoln County,1153068,Davenport,47.6540456,-118.149973
Grant County,1153147,Ephrata,47.3176385,-119.553649
Adams County,1153148,Ritzville,47.1268749,-118.380847
Yakima County,1153323,Yakima,46.601557,-120.510842
Clark County,1153325,Vancouver,45.6306954,-122.6744557
Cowlitz County,1153326,Kelso,46.1421249,-122.905299
Lewis County,1153327,Lewis County,46.588955,-122.36303455000001
Kittitas County,1153345,Ellensburg,46.9970635,-120.545122
King County,1153346,Seattle,47.6038321,-122.330062
Pierce County,1153347,Tacoma,47.2455013,-122.438329
Thurston County,1153508,Olympia,47.0451022,-122.8950075
Kitsap County,1153661,Port Orchard,47.5315625,-122.6384056
Whatcom County,1153762,Bellingham,48.7544012,-122.478836
Skagit County,1153763,Mount Vernon,48.4200462,-122.32642
Snohomish County,1153766,Everett,47.9793437,-122.2127011
