county1,county2
Waukesha County,Milwaukee County
Waukesha County,Washington County
Waukesha County,Jefferson County
Waukesha County,Walworth County
Milwaukee County,Ozaukee County
Milwaukee County,Racine County
Washington County,Dodge County
Sheboygan County,Manitowoc County
Sheboygan County,Ozaukee County
Fond du Lac County,Dodge County
Fond du Lac County,Winnebago County
Dodge County,Columbia County
Dodge County,Jefferson County
Winnebago County,Outagamie County
Winnebago County,Calumet County
Winnebago County,Waupaca County
Waushara County,Portage County
Waushara County,Marquette County
Outagamie County,Calumet County
Outagamie County,Brown County
Marathon County,Portage County
Marathon County,Clark County
Marathon County,Lincoln County
Portage County,Wood County
Shawano County,Brown County
Lincoln County,Oneida County
Brown County,Manitowoc County
Brown County,Kewaunee County
Brown County,Oconto County
Chippewa County,Barron County
Chippewa County,Eau Claire County
Juneau County,Monroe County
Juneau County,Sauk County
Monroe County,Jackson County
Monroe County,La Crosse County
Jackson County,Trempealeau County
Grant County,Lafayette County
Trempealeau County,Eau Claire County
Dunn County,Eau Claire County
Dunn County,Saint Croix County
Columbia County,Dane County
Columbia County,Marquette County
Columbia County,Sauk County
Dane County,Jefferson County
Dane County,Rock County
Kenosha County,Racine County
Rock County,Walworth County
