county,id,city_name,lat,lon
Waukesha County,270622,Waukesha,43.0116784,-88.2314813
Milwaukee County,270623,Milwaukee,43.0386475,-87.9090751
Washington County,270624,West Bend,43.4252776,-88.1834277
Sheboygan County,270625,Sheboygan,43.7508284,-87.71453
Fond du Lac County,270626,Fond du Lac,43.7748763,-88.4458033
Dodge County,270628,Juneau,43.4055504,-88.7051037
Winnebago County,270629,Oshkosh,44.0206919,-88.5408574
Waushara County,270630,Wautoma,44.0750502,-89.290193
Outagamie County,270631,Appleton,44.2613967,-88.4069744
Calumet County,270632,Chilton,44.028944,-88.1628151
Marathon County,270642,Wausau,44.9597858,-89.6272791
Waupaca County,270643,Waupaca,44.3580348,-89.0859464
Portage County,270644,Stevens Point,44.5234467,-89.5844457
Shawano County,270645,Shawano,44.7822064,-88.6089917
Wood County,270646,Wisconsin Rapids,44.3917589,-89.8228767
Clark County,270648,Neillsville,44.5604073,-90.5962609
Lincoln County,270660,Merrill,45.180522,-89.683459
Oneida County,270661,Rhinelander,45.636623,-89.412075
Brown County,270664,Green Bay,44.5126379,-88.0125794
Manitowoc County,270665,Manitowoc,44.0886059,-87.6575841
Kewaunee County,270666,Kewaunee,44.4584016,-87.5031519
Chippewa County,270803,Chippewa Falls,44.9371325,-91.3932118
Juneau County,270806,Mauston,43.7968543,-90.0756767
Monroe County,270807,Sparta,43.9440667,-90.8108268
Jackson County,270808,Black River Falls,44.2952152,-90.8484137
Grant County,1792814,Lancaster,42.8477422,-90.7102299
La Crosse County,1792816,La Crosse,43.8122836,-91.2514355
Douglas County,1796961,Superior,46.7207737,-92.1040796
Washburn County,1796963,Shell Lake,45.7431031,-91.9252678
Trempealeau County,1797830,Whitehall,44.367461,-91.3165482
Barron County,1798736,Barron,45.399912,-91.8511805
Dunn County,1798738,Menomonie,44.8765289,-91.9278716
Eau Claire County,1798739,Eau Claire,44.811349,-91.4984941
Marinette County,1798742,Marinette,45.0999594,-87.6307265
Saint Croix County,1798746,Hudson,44.9750953,-92.7554671
Columbia County,1799443,Portage,43.539494,-89.461334
Dane County,1799444,Madison,43.074761,-89.3837613
Green County,1799445,Monroe,42.6018298,-89.6392396
Iowa County,1799446,Dodgeville,42.9600059,-90.1304461
Jefferson County,1799447,Jefferson,43.0055594,-88.8073273
Kenosha County,1799448,Kenosha,42.5846773,-87.8212263
Lafayette County,1799449,Darlington,42.6802288,-90.1178079
Marquette County,1799450,Montello,43.7918612,-89.3288187
Ozaukee County,1799452,Port Washington,43.3885538,-87.8692845
Racine County,1799453,Racine,42.7313756,-87.7834769
Rock County,1799455,Janesville,42.6829765,-89.0226793
Sauk County,1799456,Baraboo,43.4704014,-89.7437844
Walworth County,1799457,Elkhorn,42.6719206,-88.543494
Oconto County,1799707,Oconto,44.8880199,-87.8696182
