county1,county2
Berkeley County,Jefferson County
Preston County,Monongalia County
Brooke County,Hancock County
Marshall County,Ohio County
Harrison County,Marion County
Harrison County,Lewis County
Marion County,Monongalia County
Braxton County,Clay County
Braxton County,Gilmer County
Braxton County,Lewis County
Cabell County,Putnam County
Cabell County,Wayne County
Clay County,Roane County
Fayette County,Kanawha County
Fayette County,Raleigh County
Gilmer County,Lewis County
Jackson County,Kanawha County
Jackson County,Wood County
Kanawha County,Putnam County
Kanawha County,Roane County
Greenbrier County,Summers County
Mercer County,Raleigh County
Raleigh County,Summers County
